고객번호,가입개월,요금제,월요금,월사용량GB,고객센터문의,연체횟수,이탈여부
C00115,28,프리미엄,80265,16.4,0,0,유지
C00116,45,알뜰,21944,11.3,0,0,유지
C00117,42,알뜰,19763,3.4,1,1,유지
C00118,24,알뜰,23463,0.5,1,0,유지
C00119,32,표준,42455,7.9,0,0,유지
C00120,51,표준,41929,5.2,0,1,유지
C00121,55,알뜰,21162,5.3,0,0,유지
C00122,42,프리미엄,73623,17.4,1,1,유지
C00123,35,알뜰,17846,4.2,0,0,유지
C00124,28,프리미엄,76491,15.3,3,0,유지
C00125,31,표준,45001,9.0,1,0,유지
C00126,34,표준,46733,4.0,1,0,유지
C00127,55,알뜰,24888,5.0,0,0,유지
C00128,59,표준,44260,8.6,0,0,유지
C00129,53,알뜰,25918,10.3,2,2,유지
C00130,43,표준,45555,10.2,2,0,유지
C00131,2,알뜰,21300,6.0,2,0,유지
C00132,26,알뜰,24393,3.0,2,0,유지
C00133,46,알뜰,25111,5.2,0,0,유지
C00134,24,알뜰,21795,8.6,1,0,이탈
C00135,39,표준,43620,7.5,1,0,유지
C00136,51,프리미엄,78795,18.2,0,0,유지
C00137,29,표준,44630,10.6,1,0,유지
C00138,38,알뜰,18295,8.0,1,1,유지
C00139,37,프리미엄,77625,16.7,1,1,유지
C00140,41,표준,44548,10.8,2,0,유지
C00141,17,표준,45050,10.1,2,1,유지
C00142,10,표준,45776,15.7,6,1,유지
C00143,16,프리미엄,80954,21.3,0,0,유지
C00144,27,알뜰,19506,5.8,1,1,유지
C00145,56,알뜰,22160,8.0,0,0,유지
C00146,2,알뜰,23799,3.3,2,0,유지
C00147,43,알뜰,15678,5.9,1,1,유지
C00148,32,표준,48063,11.0,1,0,이탈
C00149,42,알뜰,22364,6.5,0,0,유지
C00150,2,표준,51939,15.4,0,0,유지
C00151,4,알뜰,23987,5.2,3,0,유지
C00152,39,표준,42653,9.8,1,1,유지
C00153,13,프리미엄,78180,19.7,3,0,유지
C00154,9,알뜰,21187,7.2,1,0,유지
C00155,23,프리미엄,79057,22.4,0,0,유지
C00156,5,프리미엄,74107,27.7,5,0,유지
C00157,38,표준,45556,13.6,0,1,유지
C00158,10,프리미엄,77161,17.7,2,0,유지
C00159,16,프리미엄,77195,17.3,0,0,유지
C00160,25,표준,46077,15.4,0,1,유지
C00161,36,알뜰,22283,3.4,2,0,유지
C00162,29,표준,49979,10.3,0,0,유지
C00163,39,표준,45721,12.4,1,1,유지
C00164,15,표준,46832,12.3,1,0,유지
C00165,37,표준,43342,9.7,2,1,유지
C00166,37,프리미엄,76227,23.1,1,0,유지
C00167,13,표준,48860,15.1,1,0,유지
C00168,36,표준,43506,15.5,2,2,유지
C00169,17,알뜰,18844,5.3,0,1,유지
C00170,13,표준,41786,8.8,0,0,유지
C00171,36,알뜰,19665,7.9,0,0,유지
C00172,23,표준,42027,10.8,1,0,유지
C00173,33,프리미엄,75844,17.6,1,0,유지
C00174,55,알뜰,25030,5.5,0,1,유지
C00175,55,표준,44296,14.7,0,1,유지
C00176,30,프리미엄,79232,16.3,0,0,유지
C00177,13,표준,50183,20.4,0,0,유지
C00178,49,표준,43184,4.8,0,1,유지
C00179,19,프리미엄,76300,17.1,1,0,유지
C00180,41,알뜰,17529,5.6,2,0,이탈
C00181,7,표준,47654,9.3,2,0,유지
C00182,39,프리미엄,78725,18.0,0,0,유지
C00183,28,프리미엄,73252,17.2,1,1,유지
C00184,53,알뜰,25099,1.7,1,1,유지
C00185,11,표준,47371,12.0,5,0,유지
C00186,3,표준,37873,17.1,1,1,이탈
C00187,29,알뜰,18671,2.1,0,0,유지
C00188,33,프리미엄,79801,15.8,2,0,유지
C00189,23,알뜰,19002,2.8,1,0,유지
C00190,53,알뜰,20945,6.3,1,2,유지
C00191,47,표준,46188,7.1,3,2,유지
C00192,33,알뜰,22438,6.1,2,1,유지
C00193,22,표준,43243,11.5,0,1,유지
C00194,1,프리미엄,79402,19.5,3,2,유지
C00195,8,표준,48187,14.4,1,0,유지
C00196,56,표준,43985,8.7,4,0,유지
C00197,43,표준,51811,8.2,0,1,유지
C00198,44,프리미엄,79635,19.7,0,1,유지
C00199,39,알뜰,23083,9.0,0,0,유지
C00200,23,표준,41876,10.1,1,0,유지
C00201,47,프리미엄,75491,12.5,0,0,유지
C00202,11,프리미엄,75797,20.7,0,2,유지
C00203,48,표준,47334,13.6,0,1,유지
C00204,2,알뜰,19384,0.5,0,0,유지
C00205,8,프리미엄,81291,19.9,1,0,유지
C00206,55,알뜰,24487,4.8,1,1,유지
C00207,44,표준,43429,5.7,3,1,유지
C00208,50,프리미엄,77799,21.5,1,1,유지
C00209,39,표준,48984,12.4,0,1,유지
C00210,8,알뜰,19941,12.4,1,0,이탈
C00211,13,표준,39401,12.0,2,0,유지
C00212,10,알뜰,20323,5.8,2,0,유지
C00213,21,알뜰,22551,9.2,1,2,유지
C00214,42,알뜰,24604,12.2,0,1,유지
C00215,26,표준,46502,14.1,1,3,유지
C00216,9,프리미엄,84703,17.9,0,1,유지
C00217,27,알뜰,25038,6.9,2,0,유지
C00218,34,표준,46219,10.7,1,1,유지
C00219,7,프리미엄,81438,15.1,3,0,유지
C00220,22,알뜰,25571,5.0,0,1,유지
C00221,50,알뜰,22972,6.8,2,0,유지
C00222,35,표준,47495,9.8,3,1,유지
C00223,53,알뜰,24025,8.4,3,2,유지
C00224,38,알뜰,22944,4.1,1,0,이탈
C00225,36,표준,45347,12.1,1,0,유지
C00226,18,표준,42534,7.3,1,1,유지
C00227,25,알뜰,21944,0.8,0,0,유지
C00228,18,알뜰,19893,8.8,0,2,유지
C00229,39,알뜰,24068,6.6,1,1,유지
C00230,12,알뜰,22438,4.8,2,0,이탈
C00231,48,알뜰,19200,8.2,1,0,유지
C00232,57,알뜰,21769,13.6,1,1,유지
C00233,16,표준,44279,12.4,1,0,유지
C00234,27,알뜰,18413,9.8,0,2,유지
C00235,45,알뜰,20357,5.1,2,0,유지
C00236,4,알뜰,22347,6.7,2,0,이탈
C00237,50,표준,48864,11.0,1,0,유지
C00238,30,표준,45034,17.8,1,1,유지
C00239,21,알뜰,23422,9.2,1,0,이탈
C00240,39,알뜰,25562,3.3,3,2,유지
C00241,39,프리미엄,80956,13.5,1,0,유지
C00242,53,표준,45507,18.7,0,1,유지
C00243,12,표준,46718,13.3,1,0,유지
C00244,20,표준,44516,11.7,0,0,이탈
C00245,59,알뜰,21098,5.1,1,1,유지
C00246,47,알뜰,21981,6.2,0,0,유지
C00247,21,표준,45371,9.0,1,0,유지
C00248,40,표준,47487,10.2,0,0,유지
C00249,32,프리미엄,79694,14.7,0,0,유지
C00250,55,알뜰,24360,6.0,2,0,유지
C00251,1,표준,40831,9.8,5,0,이탈
C00252,20,표준,43954,14.4,0,1,유지
C00253,26,표준,44615,12.2,2,1,유지
C00254,12,알뜰,18769,1.2,0,2,유지
C00255,15,프리미엄,71919,16.6,0,1,유지
C00256,1,프리미엄,78947,21.3,4,0,유지
C00257,54,표준,50191,10.9,2,1,유지
C00258,33,표준,42236,9.7,1,1,유지
C00259,24,알뜰,22202,8.3,1,0,유지
C00260,36,알뜰,26543,7.3,3,1,이탈
C00261,23,표준,44517,8.3,1,1,이탈
C00262,24,알뜰,21307,7.9,1,1,유지
C00263,25,알뜰,18970,6.3,0,0,유지
C00264,53,프리미엄,77536,14.6,3,0,유지
C00265,52,알뜰,24051,4.5,0,1,유지
C00266,15,표준,47423,11.9,1,0,유지
C00267,5,알뜰,21225,3.7,2,0,유지
C00268,48,프리미엄,80352,17.8,0,0,유지
C00269,9,프리미엄,74761,19.4,1,1,유지
C00270,54,알뜰,20525,5.0,1,0,유지
C00271,5,프리미엄,78530,15.2,0,0,유지
C00272,26,프리미엄,78547,15.5,2,0,유지
C00273,36,알뜰,24437,4.7,6,1,이탈
C00274,3,알뜰,21286,1.8,2,0,유지
C00275,3,프리미엄,72499,23.3,5,1,유지
C00276,35,표준,47864,10.0,2,0,유지
C00277,29,표준,49969,11.3,1,1,유지
C00278,39,표준,46105,11.2,0,0,유지
C00279,24,알뜰,21192,9.6,2,0,유지
C00280,57,프리미엄,76552,12.8,0,0,유지
C00281,13,표준,44995,12.9,1,1,유지
C00282,52,알뜰,18138,5.2,2,0,유지
C00283,27,표준,45013,9.3,1,1,유지
C00284,27,표준,43713,5.8,1,0,유지
C00285,21,알뜰,17697,8.0,1,0,유지
C00286,40,프리미엄,77883,20.1,1,0,유지
C00287,11,표준,45836,11.8,2,0,유지
C00288,13,프리미엄,82106,17.1,1,0,유지
C00289,51,프리미엄,77665,14.2,1,1,유지
C00290,39,알뜰,25692,3.9,0,0,유지
C00291,34,표준,43204,13.6,0,0,유지
C00292,47,프리미엄,76607,18.4,0,1,유지
C00293,14,표준,45596,14.3,0,0,이탈
C00294,32,알뜰,19739,6.7,1,1,유지
C00295,49,알뜰,22008,9.0,0,1,유지
C00296,20,알뜰,19571,10.0,0,1,유지
C00297,16,표준,42466,14.7,1,0,유지
C00298,3,알뜰,20343,2.7,4,1,이탈
C00299,52,표준,46338,13.3,0,0,유지
C00300,27,프리미엄,77519,18.1,0,0,유지
C00301,9,표준,43302,16.4,3,1,유지
C00302,20,표준,48611,12.1,0,1,유지
C00303,4,표준,44453,14.8,2,0,이탈
C00304,54,알뜰,23573,4.7,1,1,유지
C00305,45,표준,45585,13.0,1,0,유지
C00306,12,프리미엄,79873,17.0,0,1,유지
C00307,57,프리미엄,77740,16.2,0,0,유지
C00308,2,표준,43241,12.1,3,0,유지
C00309,41,알뜰,22740,6.5,0,2,유지
C00310,18,표준,45979,12.9,2,1,유지
C00311,40,프리미엄,79545,13.3,2,1,유지
C00312,28,프리미엄,79258,14.1,0,0,유지
C00313,57,프리미엄,79143,23.0,0,1,유지
C00314,16,표준,42550,9.3,0,0,유지
C00315,44,프리미엄,80580,17.9,2,2,유지
C00316,44,알뜰,24582,8.2,1,0,유지
C00317,13,표준,44920,14.3,0,2,유지
C00318,20,알뜰,22903,9.6,2,0,유지
C00319,45,알뜰,22603,3.5,3,0,유지
C00320,12,표준,48877,13.5,1,0,유지
C00321,14,표준,41569,12.0,2,0,유지
C00322,12,표준,44778,9.6,1,0,유지
C00323,3,표준,47057,11.1,3,0,유지
C00324,49,표준,41576,13.1,6,1,유지
C00325,39,알뜰,20987,8.6,0,0,유지
C00326,8,프리미엄,82820,17.4,0,2,유지
C00327,2,알뜰,19332,8.9,3,0,유지
C00328,37,알뜰,22443,1.9,1,3,유지
C00329,40,표준,43465,10.7,1,0,유지
C00330,30,알뜰,22223,0.5,2,1,유지
C00331,13,표준,43637,16.0,2,1,유지
C00332,18,프리미엄,78909,19.8,0,1,유지
C00333,38,알뜰,18925,4.3,5,0,유지
C00334,50,표준,49730,9.9,1,1,유지
C00335,40,알뜰,23535,5.5,1,1,이탈
C00336,40,프리미엄,79487,17.8,0,0,유지
C00337,55,표준,44589,6.0,0,0,유지
C00338,49,프리미엄,79201,15.9,1,0,유지
C00339,16,표준,45138,13.3,2,2,유지
C00340,19,알뜰,24061,7.5,3,0,이탈
C00341,37,알뜰,21820,3.4,0,1,이탈
C00342,44,알뜰,21826,7.3,0,0,유지
C00343,27,프리미엄,82107,21.8,1,0,유지
C00344,31,알뜰,25373,3.0,0,1,유지
C00345,37,알뜰,26862,0.8,0,1,유지
C00346,43,표준,48107,6.0,0,1,유지
C00347,5,표준,41594,14.1,2,0,유지
C00348,46,알뜰,24023,5.8,1,0,유지
C00349,15,표준,47888,9.8,1,1,유지
C00350,22,프리미엄,79543,15.0,1,0,유지
C00351,7,표준,48455,14.7,1,1,유지
C00352,36,알뜰,25466,6.1,2,0,유지
C00353,35,프리미엄,79662,20.0,1,0,유지
C00354,51,알뜰,24220,5.7,2,1,유지
C00355,3,표준,45927,6.3,0,0,유지
C00356,6,알뜰,26344,10.1,2,0,유지
C00357,38,표준,42755,9.7,0,0,유지
C00358,54,알뜰,19512,8.4,1,0,유지
C00359,45,표준,48349,12.3,1,0,유지
C00360,17,알뜰,18891,4.5,0,0,유지
C00361,56,표준,47038,15.1,1,0,유지
C00362,45,알뜰,23158,9.2,1,1,유지
C00363,50,표준,49059,13.0,2,1,유지
C00364,11,알뜰,20630,11.1,1,0,유지
C00365,49,프리미엄,76535,17.2,0,0,유지
C00366,58,프리미엄,78630,20.3,1,0,유지
C00367,54,알뜰,22543,5.2,0,2,유지
C00368,33,알뜰,20920,5.6,1,0,유지
C00369,54,알뜰,20598,8.5,2,0,유지
C00370,3,표준,45818,6.6,1,1,유지
C00371,2,표준,47716,12.6,0,0,유지
C00372,24,알뜰,17580,3.1,2,0,유지
C00373,40,표준,48062,13.6,0,0,유지
C00374,38,알뜰,23999,1.3,1,0,유지
C00375,15,표준,44620,9.4,2,0,유지
C00376,41,알뜰,20258,9.4,0,0,유지
C00377,27,알뜰,21078,6.5,1,1,유지
C00378,20,알뜰,17717,8.3,2,0,유지
C00379,26,프리미엄,78762,16.8,1,0,유지
C00380,57,알뜰,22543,10.6,0,0,유지
C00381,22,알뜰,22390,6.2,1,0,유지
C00382,25,표준,46308,15.1,1,0,유지
C00383,15,프리미엄,75457,16.3,0,0,유지
C00384,11,표준,47651,8.4,6,0,유지
C00385,38,알뜰,22065,8.3,0,0,유지
C00386,48,알뜰,22641,3.8,3,0,유지
C00387,37,알뜰,23158,6.7,0,1,유지
C00388,56,표준,46160,16.5,3,0,유지
C00389,7,프리미엄,80400,17.1,5,0,유지
C00390,43,알뜰,23038,3.0,1,0,유지
C00391,30,표준,46000,13.3,0,0,유지
C00392,14,알뜰,20407,2.7,2,0,유지
C00393,7,표준,44205,10.5,3,1,유지
C00394,19,표준,41699,9.5,0,0,유지
C00395,13,표준,45895,10.2,0,1,유지
C00396,44,표준,44631,9.5,2,0,유지
C00397,39,알뜰,22133,0.5,2,0,유지
C00398,2,알뜰,23800,6.9,1,1,유지
C00399,1,프리미엄,77429,20.9,1,0,유지
C00400,17,표준,48652,13.8,2,0,유지
C00401,42,프리미엄,75406,18.7,1,1,유지
C00402,30,알뜰,25787,7.3,3,1,유지
C00403,13,표준,47975,6.7,0,1,유지
C00404,10,알뜰,21459,2.7,5,0,유지
C00405,58,프리미엄,79254,22.3,0,1,유지
C00406,51,프리미엄,80623,16.0,0,1,유지
C00407,39,프리미엄,76904,13.2,0,0,유지
C00408,49,표준,45915,10.0,0,0,유지
C00409,43,알뜰,24632,4.0,0,0,유지
C00410,44,알뜰,23472,6.6,3,0,유지
C00411,29,프리미엄,77403,19.2,0,0,유지
C00412,20,알뜰,18659,1.7,0,0,유지
C00413,54,알뜰,23905,6.1,0,0,유지
C00414,52,표준,47120,13.4,0,1,유지
C00415,17,알뜰,26229,6.8,3,0,유지
C00416,47,알뜰,24283,4.1,0,0,이탈
C00417,26,표준,42164,13.4,0,0,유지
C00418,30,알뜰,19642,6.5,1,0,유지
C00419,17,표준,41527,6.8,1,1,유지
C00420,12,알뜰,23574,1.7,1,2,유지
C00421,9,프리미엄,77499,18.9,1,1,유지
C00422,4,표준,45304,6.9,3,0,유지
C00423,3,프리미엄,76579,14.4,4,0,유지
C00424,34,프리미엄,73827,19.0,1,0,유지
C00425,37,프리미엄,78362,17.5,0,0,유지
C00426,4,표준,40568,8.0,1,0,유지
C00427,47,프리미엄,72732,17.4,1,1,유지
C00428,34,알뜰,19201,3.5,1,1,유지
C00429,35,알뜰,22628,8.7,0,0,유지
C00430,2,알뜰,24890,5.0,1,0,유지
C00431,29,프리미엄,78529,23.8,0,0,유지
C00432,46,알뜰,22113,10.4,1,1,유지
C00433,20,표준,45959,14.0,1,0,유지
C00434,52,알뜰,23967,7.3,1,0,유지
C00435,39,프리미엄,80827,18.6,1,0,유지
C00436,50,표준,42764,9.1,1,0,유지
C00437,24,표준,43304,15.3,0,0,유지
C00438,51,표준,52293,18.5,0,1,유지
C00439,56,알뜰,18594,5.4,1,0,유지
C00440,41,표준,39330,10.9,0,0,유지
C00441,24,알뜰,20319,0.5,0,0,유지
C00442,49,알뜰,20466,5.1,1,0,유지
C00443,11,알뜰,19752,2.9,3,0,유지
C00444,13,알뜰,25961,12.5,0,0,유지
C00445,56,프리미엄,80514,14.5,0,2,유지
C00446,44,표준,42748,11.3,1,0,이탈
C00447,2,알뜰,28069,8.9,4,0,유지
C00448,43,표준,44016,12.8,0,1,유지
C00449,40,표준,45540,7.4,1,1,유지
C00450,33,알뜰,20091,6.9,2,1,유지
C00451,8,표준,42834,12.4,3,0,유지
C00452,28,표준,46310,11.1,0,0,유지
C00453,34,표준,48902,10.7,0,1,유지
C00454,42,표준,46744,4.2,0,0,유지
C00455,48,프리미엄,78342,18.4,0,0,유지
C00456,1,알뜰,21659,3.4,3,0,유지
C00457,26,표준,48613,12.9,2,0,유지
C00458,12,표준,41665,6.8,0,0,유지
C00459,31,표준,44582,6.2,0,0,유지
C00460,21,알뜰,19921,6.2,3,0,유지
C00461,20,표준,44623,10.0,1,1,유지
C00462,53,표준,44446,6.5,1,0,유지
C00463,15,표준,43303,9.2,0,0,유지
C00464,31,프리미엄,75342,15.7,2,1,유지
C00465,23,표준,46070,10.9,2,0,유지
C00466,22,프리미엄,83543,17.8,2,0,유지
C00467,27,표준,46136,6.3,0,1,유지
C00468,20,프리미엄,77926,19.5,0,2,유지
C00469,18,표준,43287,13.9,1,1,유지
C00470,21,알뜰,23829,0.5,0,0,유지
C00471,57,프리미엄,79387,15.8,1,0,유지
C00472,55,프리미엄,83322,20.7,0,0,유지
C00473,22,알뜰,21656,1.2,1,0,유지
C00474,3,알뜰,26308,2.1,1,2,이탈
C00475,22,표준,43309,5.9,1,0,유지
C00476,24,알뜰,23578,9.6,0,0,유지
C00477,19,표준,47338,12.8,0,0,유지
C00478,52,알뜰,21187,2.0,0,1,유지
C00479,50,프리미엄,74052,19.6,1,2,유지
C00480,52,표준,45894,12.9,1,0,유지
C00481,58,표준,46310,13.0,0,0,유지
C00482,3,알뜰,25531,8.4,0,0,유지
C00483,49,표준,48231,13.6,0,0,유지
C00484,20,프리미엄,82932,16.4,1,1,유지
C00485,41,알뜰,20199,8.9,2,2,유지
C00486,3,프리미엄,82486,15.9,3,0,유지
C00487,58,알뜰,23640,12.1,0,2,유지
C00488,19,표준,47505,8.8,3,0,유지
C00489,3,표준,40563,12.0,5,0,유지
C00490,21,알뜰,23624,10.9,0,1,유지
C00491,56,표준,45649,10.0,1,1,유지
C00492,11,표준,45771,11.2,1,0,유지
C00493,18,알뜰,28987,6.2,0,0,유지
C00494,58,프리미엄,76782,17.1,1,0,유지
C00495,30,표준,44451,13.1,1,0,유지
C00496,2,알뜰,23021,9.8,0,1,유지
C00497,30,표준,46197,8.8,0,0,유지
C00498,14,표준,42605,15.2,0,0,유지
C00499,44,표준,42424,7.7,2,2,유지
C00500,39,프리미엄,78242,16.8,1,0,유지
C00501,41,표준,42281,4.4,0,2,유지
C00502,30,알뜰,23767,0.5,0,1,유지
C00503,42,표준,43984,12.8,0,1,유지
C00504,36,알뜰,18686,2.1,1,0,유지
C00505,43,알뜰,23899,3.5,1,0,유지
C00506,2,표준,46491,4.8,2,1,유지
C00507,8,알뜰,23784,8.2,4,0,유지
C00508,21,프리미엄,78564,15.1,0,1,유지
C00509,8,표준,46658,7.5,0,0,유지
C00510,31,알뜰,21396,11.4,0,0,이탈
C00511,56,프리미엄,73981,18.3,1,0,유지
C00512,5,알뜰,21371,6.3,7,0,유지
C00513,54,알뜰,21530,2.8,1,0,유지
C00514,19,알뜰,21113,11.6,0,0,유지
C00515,23,표준,45860,9.9,1,0,유지
C00516,32,표준,49415,13.2,1,0,유지
C00517,35,표준,47284,12.7,0,0,유지
C00518,27,프리미엄,79449,14.3,1,0,유지
C00519,32,표준,46851,10.7,1,0,유지
C00520,32,프리미엄,75874,19.3,0,1,유지
C00521,22,알뜰,27213,8.4,1,0,유지
C00522,10,표준,45721,12.4,1,0,유지
C00523,49,알뜰,25571,4.0,5,0,유지
C00524,34,표준,47984,12.1,0,0,유지
C00525,9,프리미엄,80991,20.7,2,0,유지
C00526,50,표준,49695,6.8,5,1,유지
C00527,30,알뜰,22440,6.4,0,0,유지
C00528,13,프리미엄,80807,18.9,0,0,유지
C00529,17,프리미엄,78004,20.6,2,0,유지
C00530,29,알뜰,22368,5.8,2,2,유지
C00531,8,표준,40169,11.7,3,0,유지
C00532,19,표준,45608,2.7,1,0,유지
C00533,53,프리미엄,78146,14.5,0,0,유지
C00534,12,표준,46104,4.9,0,1,유지
C00535,4,표준,43082,11.2,5,0,유지
C00536,56,프리미엄,75486,21.7,1,0,유지
C00537,57,알뜰,23039,8.2,0,0,유지
C00538,24,알뜰,21729,4.4,2,0,유지
C00539,29,프리미엄,79491,22.6,1,1,유지
C00540,1,표준,42703,11.9,2,0,유지
C00541,20,알뜰,18438,7.8,1,2,유지
C00542,15,표준,46359,10.6,0,0,유지
C00543,44,알뜰,22935,7.5,1,0,유지
C00544,9,표준,45757,9.6,2,0,유지
C00545,45,알뜰,23214,7.5,2,2,유지
C00546,11,표준,45729,12.5,2,0,이탈
C00547,24,알뜰,21896,3.8,0,1,유지
C00548,26,표준,43002,14.7,1,0,유지
C00549,10,프리미엄,78677,19.2,1,0,유지
C00550,23,알뜰,21933,2.9,0,1,유지
C00551,56,표준,44259,4.9,1,1,유지
C00552,38,표준,41629,9.8,0,1,유지
C00553,51,알뜰,20964,8.4,2,0,유지
C00554,44,알뜰,23373,4.2,1,1,유지
C00555,53,표준,46796,14.2,0,1,유지
C00556,16,알뜰,18597,6.8,0,1,유지
C00557,31,표준,47410,10.9,2,0,유지
C00558,12,프리미엄,76626,19.4,1,0,유지
C00559,20,알뜰,24627,7.3,0,0,유지
C00560,17,프리미엄,77719,17.6,2,0,유지
C00561,48,표준,42641,11.6,1,2,유지
C00562,22,표준,47617,12.3,0,0,유지
C00563,21,표준,41585,10.5,0,0,유지
C00564,16,프리미엄,79020,24.8,1,2,유지
C00565,36,프리미엄,78101,20.3,0,1,유지
C00566,17,프리미엄,79295,21.2,0,0,유지
C00567,41,표준,46652,14.3,1,0,유지
C00568,55,알뜰,22992,8.8,2,0,유지
