진료일,진료과,접수시각,대기환자수,접수시스템,대기시간분
2024-04-26,정형외과,9,29,기존시스템,41.9
2024-05-26,내과,15,24,신규시스템,25.9
2024-05-11,피부과,16,15,기존시스템,14.9
2024-04-03,정형외과,17,8,기존시스템,21.2
2024-03-16,정형외과,10,29,신규시스템,24.8
2024-05-26,소아과,16,16,기존시스템,19.3
2024-04-13,정형외과,9,21,기존시스템,31.0
2024-04-21,소아과,15,24,기존시스템,24.2
2024-06-25,내과,15,17,기존시스템,22.1
2024-04-09,내과,11,40,신규시스템,31.0
2024-03-11,정형외과,11,43,기존시스템,48.5
2024-05-23,소아과,14,27,기존시스템,29.3
2024-06-06,소아과,9,35,신규시스템,34.3
2024-04-15,내과,16,25,기존시스템,27.6
2024-06-13,내과,9,32,기존시스템,39.7
2024-05-24,피부과,15,15,기존시스템,12.3
2024-03-28,소아과,16,22,신규시스템,20.3
2024-06-11,내과,14,26,신규시스템,28.1
2024-05-01,내과,17,16,기존시스템,23.4
2024-04-02,내과,15,24,신규시스템,22.9
2024-05-20,정형외과,17,7,기존시스템,19.9
2024-03-25,내과,15,25,신규시스템,23.1
2024-04-11,정형외과,16,12,기존시스템,22.9
2024-04-08,내과,11,37,신규시스템,35.1
2024-03-28,내과,14,18,기존시스템,25.8
2024-04-20,내과,11,44,신규시스템,35.1
2024-06-27,정형외과,15,19,기존시스템,32.6
2024-05-27,소아과,9,30,기존시스템,27.9
2024-05-19,소아과,10,26,신규시스템,31.0
2024-04-22,내과,17,7,기존시스템,13.6
2024-05-17,정형외과,15,23,신규시스템,32.6
2024-05-23,소아과,11,43,신규시스템,36.0
2024-03-22,피부과,9,28,신규시스템,23.8
2024-06-28,내과,14,21,기존시스템,23.2
2024-03-19,내과,17,10,기존시스템,17.0
2024-03-29,소아과,14,24,기존시스템,28.4
2024-04-15,피부과,9,30,신규시스템,34.6
2024-05-31,피부과,11,37,신규시스템,34.4
2024-03-19,정형외과,10,38,신규시스템,40.5
2024-04-27,내과,9,25,기존시스템,23.7
2024-06-19,내과,17,13,기존시스템,14.9
2024-04-20,내과,15,21,기존시스템,24.7
2024-06-15,내과,16,19,기존시스템,22.9
2024-05-12,내과,14,19,기존시스템,23.8
2024-06-05,내과,10,32,신규시스템,31.4
2024-03-15,정형외과,15,21,기존시스템,27.7
2024-04-17,정형외과,17,14,기존시스템,26.0
2024-04-07,피부과,15,20,기존시스템,22.0
2024-04-19,정형외과,11,41,신규시스템,45.6
2024-04-02,소아과,11,38,신규시스템,41.5
2024-04-16,소아과,15,18,기존시스템,19.4
2024-05-13,내과,17,6,기존시스템,16.9
2024-04-26,소아과,17,15,기존시스템,17.9
2024-03-27,소아과,11,51,신규시스템,44.1
2024-03-30,내과,11,31,신규시스템,33.9
2024-03-06,소아과,9,27,기존시스템,22.2
2024-03-01,정형외과,10,30,기존시스템,46.5
2024-03-05,내과,17,12,기존시스템,17.4
2024-04-02,내과,9,37,신규시스템,27.0
2024-06-01,피부과,11,36,신규시스템,33.2
2024-06-24,내과,9,34,신규시스템,27.8
2024-05-22,소아과,14,25,신규시스템,16.1
2024-03-24,소아과,15,16,신규시스템,16.8
2024-06-10,피부과,10,29,기존시스템,29.1
2024-03-19,소아과,16,20,신규시스템,13.7
2024-05-21,내과,11,37,신규시스템,39.8
2024-03-13,내과,15,26,신규시스템,22.0
2024-03-07,내과,10,35,신규시스템,32.1
2024-04-10,소아과,14,26,신규시스템,28.2
2024-05-24,소아과,11,33,신규시스템,29.4
2024-05-12,소아과,14,23,기존시스템,24.2
2024-05-05,내과,10,26,신규시스템,21.1
2024-03-19,정형외과,16,17,신규시스템,28.3
2024-06-24,내과,14,24,신규시스템,23.0
2024-06-11,내과,9,35,기존시스템,38.6
2024-03-28,정형외과,10,31,기존시스템,35.0
2024-06-06,내과,17,12,기존시스템,14.9
2024-03-10,피부과,9,27,신규시스템,28.9
2024-03-24,피부과,15,24,신규시스템,23.9
2024-06-08,정형외과,10,29,신규시스템,33.2
2024-05-31,내과,14,25,신규시스템,21.6
2024-04-20,피부과,14,23,신규시스템,19.7
2024-04-11,내과,10,25,기존시스템,30.4
2024-04-26,소아과,9,25,신규시스템,19.0
2024-06-04,내과,15,25,기존시스템,26.2
2024-05-26,내과,14,29,신규시스템,25.8
2024-05-07,피부과,9,28,신규시스템,27.6
2024-03-22,내과,15,26,기존시스템,32.0
2024-03-10,정형외과,16,17,기존시스템,30.5
2024-04-24,정형외과,16,18,기존시스템,34.3
2024-05-04,내과,14,24,기존시스템,26.8
2024-06-05,정형외과,14,21,기존시스템,26.9
2024-05-06,소아과,15,20,신규시스템,23.1
2024-05-11,소아과,17,17,기존시스템,18.3
2024-03-27,내과,11,37,신규시스템,33.1
2024-06-17,내과,17,4,기존시스템,8.1
2024-04-09,소아과,10,35,신규시스템,35.6
2024-06-12,내과,11,36,신규시스템,32.0
2024-05-22,소아과,11,27,기존시스템,28.2
2024-04-02,내과,11,37,신규시스템,33.4
2024-04-30,소아과,11,37,신규시스템,37.7
2024-06-04,내과,9,29,신규시스템,22.6
2024-03-15,피부과,15,22,기존시스템,33.4
2024-05-16,정형외과,15,19,기존시스템,31.0
2024-04-03,피부과,9,29,기존시스템,26.4
2024-03-15,내과,10,30,신규시스템,22.1
2024-04-27,소아과,17,6,기존시스템,14.3
2024-04-01,정형외과,17,11,기존시스템,18.9
2024-03-16,정형외과,17,9,기존시스템,23.0
2024-05-30,소아과,14,22,신규시스템,17.9
2024-05-24,정형외과,11,34,기존시스템,41.4
2024-06-10,피부과,16,15,기존시스템,16.9
2024-05-19,내과,15,14,기존시스템,19.4
2024-03-19,내과,11,35,신규시스템,36.7
2024-05-28,내과,11,34,신규시스템,35.3
2024-05-24,소아과,16,21,기존시스템,30.0
2024-04-15,정형외과,10,35,신규시스템,37.6
2024-04-09,소아과,16,16,기존시스템,14.6
2024-06-18,피부과,17,18,기존시스템,18.3
2024-03-23,정형외과,9,23,기존시스템,34.1
2024-03-15,소아과,11,39,신규시스템,32.1
2024-03-12,내과,17,15,기존시스템,22.0
2024-06-25,소아과,16,15,기존시스템,22.5
2024-03-12,내과,17,9,기존시스템,19.7
2024-04-09,피부과,16,14,기존시스템,18.7
2024-04-25,피부과,10,35,신규시스템,32.5
2024-06-05,소아과,9,30,기존시스템,28.6
2024-03-14,내과,15,18,기존시스템,18.5
2024-04-12,피부과,17,15,기존시스템,21.2
2024-05-12,소아과,10,38,신규시스템,32.7
2024-05-17,소아과,9,32,기존시스템,30.2
2024-06-08,내과,11,31,기존시스템,33.4
2024-03-08,소아과,11,38,기존시스템,30.4
2024-04-20,소아과,17,10,기존시스템,15.0
2024-06-15,정형외과,10,29,신규시스템,36.5
2024-05-14,내과,10,35,신규시스템,29.0
2024-06-19,내과,9,24,신규시스템,18.6
2024-06-09,소아과,9,32,신규시스템,32.3
2024-06-24,내과,16,19,기존시스템,23.2
2024-06-07,소아과,10,33,기존시스템,37.1
2024-04-30,소아과,10,40,신규시스템,32.8
2024-04-07,내과,9,24,기존시스템,29.7
2024-04-15,정형외과,15,26,신규시스템,27.8
2024-05-07,정형외과,9,30,신규시스템,34.6
2024-06-08,정형외과,11,37,신규시스템,42.4
2024-04-27,내과,15,19,기존시스템,23.7
2024-05-01,내과,11,44,신규시스템,51.5
2024-03-15,소아과,11,38,신규시스템,34.7
2024-05-17,소아과,11,37,신규시스템,34.5
2024-03-24,정형외과,17,20,신규시스템,29.9
2024-04-26,내과,15,21,기존시스템,17.9
2024-03-11,피부과,14,34,신규시스템,33.4
2024-05-08,내과,16,15,기존시스템,17.7
2024-03-27,내과,11,40,신규시스템,36.0
2024-05-23,정형외과,9,25,기존시스템,35.8
2024-06-23,피부과,16,12,기존시스템,12.2
2024-03-06,내과,9,28,기존시스템,32.5
2024-06-17,내과,9,23,기존시스템,25.5
2024-04-05,정형외과,14,22,기존시스템,32.9
2024-06-07,소아과,17,7,기존시스템,16.5
2024-05-31,피부과,17,9,기존시스템,12.2
2024-06-10,내과,15,24,신규시스템,23.5
2024-05-19,소아과,9,28,신규시스템,29.4
2024-06-19,피부과,17,9,기존시스템,13.8
2024-03-02,소아과,16,12,기존시스템,20.3
2024-03-23,내과,15,22,기존시스템,21.3
2024-03-11,내과,15,21,기존시스템,28.0
2024-05-09,내과,11,44,기존시스템,42.9
2024-03-08,내과,16,17,기존시스템,22.3
2024-04-15,내과,11,42,신규시스템,33.1
2024-04-08,피부과,9,30,신규시스템,27.8
2024-03-24,내과,9,35,신규시스템,33.4
2024-05-27,소아과,14,19,기존시스템,18.2
2024-03-17,내과,14,26,신규시스템,12.2
2024-04-30,내과,11,34,신규시스템,27.1
2024-06-13,내과,10,27,기존시스템,23.7
2024-06-28,내과,16,15,기존시스템,13.0
2024-05-16,정형외과,16,11,기존시스템,17.4
2024-06-22,피부과,14,28,신규시스템,22.1
2024-05-24,피부과,10,34,신규시스템,24.9
2024-06-04,정형외과,14,21,신규시스템,32.4
2024-06-15,소아과,16,12,기존시스템,14.1
2024-05-18,소아과,16,18,기존시스템,21.0
2024-03-23,내과,14,25,기존시스템,23.1
2024-05-31,내과,16,20,기존시스템,22.4
2024-06-28,피부과,10,31,신규시스템,31.6
2024-04-24,내과,15,29,신규시스템,27.6
2024-04-28,정형외과,9,26,기존시스템,38.8
2024-04-29,내과,16,7,기존시스템,11.7
2024-04-11,내과,10,34,신규시스템,31.2
2024-03-29,정형외과,9,36,신규시스템,35.9
2024-06-21,내과,16,13,기존시스템,15.8
2024-04-17,내과,14,19,기존시스템,21.2
2024-04-01,내과,9,20,기존시스템,25.3
2024-05-12,피부과,17,6,기존시스템,10.3
2024-06-12,내과,16,14,기존시스템,16.5
2024-04-04,내과,14,24,기존시스템,26.8
2024-03-20,피부과,11,39,신규시스템,35.9
2024-05-25,피부과,9,34,신규시스템,27.3
2024-05-12,정형외과,9,25,기존시스템,32.1
2024-04-12,내과,14,28,신규시스템,32.7
2024-05-14,정형외과,9,28,기존시스템,40.4
2024-06-16,내과,11,44,신규시스템,34.2
2024-04-09,정형외과,16,17,기존시스템,28.0
2024-04-13,내과,9,30,신규시스템,25.7
2024-05-13,내과,9,30,기존시스템,26.2
2024-04-26,내과,9,26,신규시스템,22.0
2024-06-21,소아과,9,25,신규시스템,18.6
2024-03-20,피부과,15,20,기존시스템,26.5
2024-04-14,정형외과,14,20,기존시스템,32.8
2024-05-25,소아과,15,26,기존시스템,31.0
2024-03-15,피부과,14,19,기존시스템,20.7
2024-05-30,소아과,15,21,기존시스템,18.0
2024-04-24,내과,11,39,신규시스템,31.1
2024-04-19,내과,15,18,기존시스템,23.8
2024-03-13,소아과,9,27,신규시스템,25.4
2024-03-26,내과,10,34,신규시스템,29.3
2024-05-18,정형외과,9,33,신규시스템,34.3
2024-03-03,피부과,16,16,기존시스템,19.6
2024-05-28,내과,11,39,신규시스템,31.8
2024-05-04,피부과,14,25,기존시스템,25.3
2024-03-05,정형외과,10,44,신규시스템,52.0
2024-06-05,피부과,14,20,기존시스템,30.5
2024-06-08,정형외과,16,6,기존시스템,19.8
2024-04-01,정형외과,17,17,기존시스템,20.8
2024-05-22,소아과,10,38,신규시스템,40.7
2024-03-05,소아과,17,12,기존시스템,15.5
2024-04-23,내과,14,19,기존시스템,15.6
2024-05-04,소아과,14,30,기존시스템,29.3
2024-03-01,내과,16,19,기존시스템,25.2
2024-05-11,소아과,16,18,기존시스템,18.2
2024-03-22,내과,14,30,신규시스템,26.0
2024-03-09,소아과,14,22,기존시스템,25.3
2024-04-24,정형외과,11,34,신규시스템,29.4
2024-03-22,내과,15,21,기존시스템,28.5
2024-06-06,정형외과,17,10,기존시스템,21.3
2024-06-27,내과,15,17,기존시스템,19.7
2024-03-06,정형외과,10,34,신규시스템,40.8
2024-05-25,소아과,9,24,기존시스템,18.3
2024-05-23,내과,15,19,기존시스템,24.4
2024-06-26,피부과,14,28,기존시스템,29.9
2024-03-03,소아과,14,19,기존시스템,21.5
2024-06-28,내과,15,16,기존시스템,18.4
2024-05-03,정형외과,17,7,기존시스템,21.7
2024-06-03,소아과,10,26,신규시스템,16.3
2024-04-04,내과,15,21,기존시스템,24.0
2024-06-02,내과,11,37,기존시스템,39.1
2024-06-02,내과,17,7,기존시스템,15.7
2024-04-19,정형외과,11,40,신규시스템,49.8
2024-03-19,내과,17,8,기존시스템,7.8
2024-04-05,정형외과,14,25,신규시스템,25.2
2024-06-11,정형외과,14,22,신규시스템,29.1
2024-05-10,내과,15,21,기존시스템,27.1
2024-05-30,내과,15,24,기존시스템,27.5
2024-05-30,내과,15,15,기존시스템,21.4
2024-06-26,소아과,15,20,기존시스템,20.4
2024-06-18,소아과,11,36,신규시스템,35.4
2024-05-05,피부과,10,31,신규시스템,26.0
2024-05-20,내과,10,33,신규시스템,26.6
2024-03-27,정형외과,16,13,신규시스템,20.1
2024-05-08,소아과,15,24,신규시스템,16.1
2024-05-29,정형외과,11,37,신규시스템,44.6
2024-06-06,정형외과,17,10,기존시스템,24.3
2024-05-04,정형외과,10,40,신규시스템,46.1
2024-05-29,내과,14,27,기존시스템,20.8
2024-03-03,피부과,9,26,신규시스템,22.7
2024-03-20,소아과,15,18,신규시스템,20.5
2024-03-22,내과,15,20,기존시스템,19.7
2024-06-06,내과,17,10,기존시스템,18.5
2024-03-29,소아과,14,22,기존시스템,28.0
2024-03-27,정형외과,14,24,기존시스템,41.5
2024-05-22,내과,9,25,신규시스템,19.6
2024-04-03,정형외과,10,39,신규시스템,42.2
2024-06-16,정형외과,16,20,기존시스템,26.3
2024-04-29,소아과,15,17,기존시스템,19.0
2024-03-21,피부과,14,28,신규시스템,23.3
2024-05-19,내과,9,27,신규시스템,16.1
2024-04-24,피부과,10,29,신규시스템,33.8
2024-06-03,소아과,14,24,신규시스템,16.9
2024-05-15,내과,9,32,기존시스템,31.9
2024-06-12,피부과,11,43,신규시스템,40.6
2024-06-09,소아과,17,10,기존시스템,12.0
2024-04-11,내과,10,33,신규시스템,31.2
2024-06-14,피부과,16,18,기존시스템,19.8
2024-06-06,피부과,10,37,신규시스템,32.5
2024-04-26,소아과,14,18,기존시스템,22.5
2024-05-13,소아과,17,15,기존시스템,25.7
2024-03-21,정형외과,16,11,기존시스템,21.4
2024-06-14,내과,10,37,신규시스템,31.5
2024-03-24,소아과,9,35,신규시스템,31.2
2024-04-10,소아과,9,29,신규시스템,30.2
2024-05-16,내과,14,21,기존시스템,24.1
2024-03-19,정형외과,9,28,신규시스템,38.3
2024-04-30,정형외과,11,42,신규시스템,41.8
2024-05-29,소아과,17,8,기존시스템,11.9
2024-03-08,정형외과,14,18,기존시스템,23.4
2024-03-15,소아과,10,35,신규시스템,28.3
2024-06-23,정형외과,14,24,기존시스템,35.1
2024-06-15,소아과,9,26,기존시스템,30.0
2024-05-19,내과,11,41,신규시스템,40.5
2024-03-05,피부과,11,41,신규시스템,40.3
2024-06-06,내과,15,20,신규시스템,17.8
2024-06-17,내과,9,28,기존시스템,35.0
2024-04-14,소아과,11,35,신규시스템,34.6
2024-04-28,정형외과,16,15,기존시스템,26.1
2024-04-27,정형외과,11,29,기존시스템,33.1
2024-04-01,정형외과,16,10,기존시스템,21.1
2024-04-11,내과,9,26,기존시스템,29.0
2024-03-31,정형외과,15,21,신규시스템,24.6
2024-03-24,피부과,14,16,기존시스템,22.3
2024-03-10,소아과,17,9,기존시스템,12.6
2024-06-19,정형외과,14,27,신규시스템,32.0
2024-06-24,정형외과,14,24,기존시스템,35.8
2024-06-13,피부과,16,12,기존시스템,16.8
2024-05-11,피부과,11,43,신규시스템,34.0
2024-05-07,정형외과,16,19,기존시스템,27.8
2024-05-09,소아과,14,29,기존시스템,29.1
2024-04-10,소아과,11,37,신규시스템,30.1
2024-04-08,내과,14,22,신규시스템,20.6
2024-04-05,피부과,11,33,신규시스템,28.8
2024-06-05,내과,14,22,기존시스템,21.7
2024-03-16,내과,14,23,기존시스템,31.5
2024-03-26,내과,9,29,신규시스템,26.4
2024-05-24,소아과,10,38,신규시스템,33.8
2024-05-14,내과,10,34,신규시스템,28.7
2024-03-06,내과,9,29,신규시스템,28.9
2024-06-01,내과,11,34,신규시스템,28.8
2024-05-12,정형외과,14,21,기존시스템,30.0
2024-05-20,정형외과,10,33,기존시스템,39.8
2024-05-30,내과,14,26,신규시스템,29.1
2024-05-03,내과,16,17,신규시스템,15.5
2024-03-01,내과,14,23,신규시스템,21.0
2024-04-07,내과,10,32,신규시스템,27.7
2024-05-15,내과,10,25,기존시스템,29.8
2024-03-06,내과,10,42,신규시스템,37.9
2024-05-15,내과,14,24,기존시스템,23.9
2024-03-17,정형외과,9,24,신규시스템,27.0
2024-03-11,정형외과,9,24,기존시스템,35.9
2024-05-02,피부과,16,15,기존시스템,15.9
2024-05-26,정형외과,14,22,기존시스템,28.8
2024-04-02,소아과,10,34,신규시스템,24.6
2024-03-26,소아과,11,32,신규시스템,27.3
2024-04-02,내과,17,10,기존시스템,12.7
2024-04-23,정형외과,9,34,신규시스템,45.2
2024-05-22,내과,10,31,신규시스템,23.0
2024-04-01,내과,15,16,기존시스템,16.1
2024-03-11,내과,9,25,기존시스템,25.2
2024-03-13,소아과,9,26,신규시스템,25.0
2024-03-29,정형외과,9,28,신규시스템,38.5
2024-06-03,정형외과,11,42,신규시스템,47.6
2024-06-06,피부과,10,37,신규시스템,35.8
2024-05-20,정형외과,15,14,기존시스템,31.7
2024-04-04,정형외과,17,10,신규시스템,19.3
2024-06-04,피부과,9,24,기존시스템,29.7
2024-05-29,피부과,14,23,기존시스템,27.5
2024-04-24,내과,11,35,신규시스템,28.1
2024-05-12,내과,17,13,기존시스템,10.4
2024-04-03,정형외과,11,37,신규시스템,40.5
2024-06-18,정형외과,16,20,기존시스템,26.8
2024-05-22,내과,9,30,기존시스템,26.5
2024-06-19,소아과,9,35,신규시스템,35.9
2024-04-12,소아과,9,29,신규시스템,25.9
2024-03-25,정형외과,10,30,기존시스템,37.4
2024-05-22,정형외과,15,26,기존시스템,40.7
2024-04-29,내과,16,15,기존시스템,20.3
2024-03-17,정형외과,11,30,신규시스템,33.0
2024-04-20,내과,16,17,신규시스템,13.3
2024-04-11,피부과,15,24,기존시스템,25.4
2024-05-25,내과,15,17,기존시스템,17.4
2024-06-10,내과,16,14,기존시스템,20.2
2024-03-03,소아과,14,27,기존시스템,30.2
2024-04-01,내과,15,20,기존시스템,23.9
2024-04-25,피부과,16,15,기존시스템,22.8
2024-03-25,내과,17,4,기존시스템,10.3
2024-04-03,소아과,17,6,기존시스템,13.7
2024-04-16,피부과,10,28,신규시스템,23.9
2024-03-22,내과,14,28,기존시스템,35.6
2024-04-17,정형외과,14,25,기존시스템,35.2
2024-04-11,내과,16,15,기존시스템,19.0
2024-03-16,내과,11,42,신규시스템,45.4
2024-05-23,내과,14,31,신규시스템,26.7
2024-04-25,소아과,16,16,기존시스템,25.9
2024-05-01,내과,10,29,신규시스템,26.7
2024-03-31,정형외과,9,28,신규시스템,39.3
2024-04-20,정형외과,9,20,신규시스템,27.4
2024-06-27,정형외과,17,8,기존시스템,15.9
2024-04-28,정형외과,9,28,신규시스템,33.0
2024-04-22,피부과,17,4,기존시스템,5.5
2024-06-04,소아과,11,39,신규시스템,36.7
2024-03-31,내과,9,32,신규시스템,31.8
2024-04-12,내과,16,13,기존시스템,17.2
2024-03-07,정형외과,14,22,기존시스템,30.2
2024-04-03,정형외과,11,41,신규시스템,42.2
2024-06-06,정형외과,14,26,기존시스템,33.2
2024-03-10,소아과,17,16,기존시스템,17.7
2024-04-23,정형외과,15,25,기존시스템,31.2
2024-03-04,소아과,16,10,기존시스템,9.9
2024-03-29,내과,11,35,신규시스템,36.2
2024-04-10,내과,10,29,신규시스템,26.4
2024-03-28,피부과,10,32,신규시스템,32.6
2024-06-16,정형외과,17,4,기존시스템,20.7
2024-05-26,내과,14,24,기존시스템,29.0
2024-03-03,내과,16,14,기존시스템,15.0
2024-05-07,내과,17,14,기존시스템,15.1
2024-03-17,정형외과,9,35,신규시스템,39.9
2024-04-21,정형외과,10,40,신규시스템,44.5
2024-03-17,정형외과,9,20,기존시스템,27.5
2024-03-16,내과,14,25,기존시스템,23.8
2024-04-25,내과,17,11,기존시스템,19.1
2024-03-12,피부과,9,23,기존시스템,31.3
2024-06-11,정형외과,10,40,신규시스템,43.1
2024-04-13,정형외과,10,32,신규시스템,30.3
2024-03-22,소아과,15,22,기존시스템,22.3
2024-03-13,정형외과,16,20,기존시스템,37.5
2024-04-23,내과,9,28,신규시스템,25.0
2024-03-01,정형외과,9,36,신규시스템,41.0
2024-04-27,소아과,16,7,기존시스템,16.7
2024-06-04,피부과,16,20,기존시스템,21.7
2024-06-08,내과,15,15,기존시스템,15.3
2024-03-21,정형외과,17,14,기존시스템,27.1
2024-06-26,정형외과,10,30,신규시스템,27.0
2024-06-02,소아과,16,14,기존시스템,14.8
2024-04-12,소아과,10,37,신규시스템,36.7
2024-04-07,내과,14,28,신규시스템,28.3
2024-03-29,소아과,15,27,신규시스템,20.9
2024-04-26,정형외과,9,35,신규시스템,39.8
2024-06-24,내과,10,30,신규시스템,23.1
2024-06-04,정형외과,10,32,신규시스템,29.3
2024-04-29,소아과,14,28,신규시스템,22.9
2024-05-12,정형외과,14,25,신규시스템,28.3
2024-06-16,정형외과,14,22,신규시스템,24.3
2024-04-25,내과,9,30,신규시스템,25.9
2024-05-08,소아과,14,28,기존시스템,34.6
2024-04-03,정형외과,16,19,기존시스템,30.7
2024-06-19,내과,14,31,신규시스템,29.3
2024-03-07,소아과,15,17,기존시스템,18.3
2024-06-02,정형외과,17,11,기존시스템,19.6
2024-05-28,소아과,17,13,기존시스템,13.0
2024-04-27,내과,15,15,기존시스템,14.7
2024-06-07,피부과,10,31,신규시스템,27.0
2024-04-17,정형외과,15,19,기존시스템,23.0
2024-04-02,소아과,14,20,기존시스템,26.1
2024-04-09,내과,15,14,기존시스템,17.3
2024-04-04,내과,10,39,신규시스템,37.2
2024-05-07,내과,11,32,신규시스템,30.0
2024-06-07,내과,17,15,기존시스템,16.1
2024-04-03,내과,10,36,기존시스템,35.1
2024-03-02,정형외과,15,17,기존시스템,32.7
2024-03-25,내과,9,32,신규시스템,26.5
2024-03-05,내과,16,13,기존시스템,18.1
2024-06-15,소아과,9,28,기존시스템,33.9
2024-06-10,소아과,16,13,기존시스템,15.2
2024-03-13,내과,16,13,기존시스템,20.1
2024-04-15,내과,15,24,기존시스템,23.4
2024-04-10,소아과,15,21,기존시스템,24.7
2024-04-14,소아과,16,18,기존시스템,23.0
2024-04-13,내과,17,12,기존시스템,16.1
2024-04-10,내과,9,41,신규시스템,42.6
2024-05-06,소아과,9,25,기존시스템,26.3
2024-04-03,내과,9,31,신규시스템,32.7
2024-05-23,내과,10,40,신규시스템,35.6
2024-05-22,내과,9,26,신규시스템,24.1
2024-03-04,정형외과,11,38,신규시스템,42.3
2024-03-15,소아과,16,22,기존시스템,24.9
2024-06-05,소아과,14,33,신규시스템,24.0
