날짜,매장,방문객수,객단가,매출액,날씨,프로모션
2024-02-01,일산점,392,20911,8204816,흐림,없음
2024-02-01,판교점,431,21715,9359258,비,없음
2024-02-02,강남점,957,21048,20135176,맑음,진행
2024-02-02,일산점,469,27920,13085202,맑음,없음
2024-02-02,판교점,567,24954,14141200,맑음,없음
2024-02-03,강남점,775,29811,23090044,흐림,없음
2024-02-03,일산점,658,22850,15035752,맑음,진행
2024-02-03,판교점,528,24875,13126877,맑음,없음
2024-02-04,강남점,651,25106,16335324,맑음,없음
2024-02-04,일산점,300,25133,7549173,맑음,없음
2024-02-04,판교점,447,21433,9573272,흐림,없음
2024-02-05,강남점,666,25414,16914290,흐림,없음
2024-02-05,일산점,371,22904,8495606,맑음,없음
2024-02-05,판교점,664,19697,13085124,맑음,진행
2024-02-06,강남점,532,26436,14057476,맑음,없음
2024-02-06,일산점,426,22984,9801515,흐림,없음
2024-02-06,판교점,650,22447,14601422,흐림,진행
2024-02-07,강남점,787,25997,20450686,맑음,진행
2024-02-07,일산점,483,26506,12796744,맑음,진행
2024-02-07,판교점,502,19243,9651471,맑음,없음
2024-02-08,강남점,628,20480,12851853,맑음,없음
2024-02-08,일산점,289,19830,5729908,맑음,없음
2024-02-08,판교점,430,24387,10478626,흐림,없음
2024-02-09,강남점,736,21345,15711179,맑음,없음
2024-02-09,일산점,481,25176,12100389,맑음,없음
2024-02-09,판교점,714,23927,17093907,비,진행
2024-02-10,강남점,688,24357,16756141,맑음,없음
2024-02-10,일산점,482,22648,10927344,맑음,없음
2024-02-10,판교점,613,25721,15769362,흐림,없음
2024-02-11,강남점,775,23535,18238715,흐림,진행
2024-02-11,일산점,367,20405,7489683,맑음,없음
2024-02-11,판교점,389,21334,8291602,비,없음
2024-02-12,강남점,603,20867,12584981,맑음,없음
2024-02-12,일산점,271,26246,7114938,흐림,없음
2024-02-12,판교점,422,28021,11832644,흐림,없음
2024-02-13,강남점,699,20447,14300718,흐림,없음
2024-02-13,일산점,387,22308,8630132,흐림,없음
2024-02-13,판교점,525,28738,15079775,맑음,없음
2024-02-14,강남점,673,25970,17466741,맑음,없음
2024-02-14,일산점,356,26154,9318503,맑음,없음
2024-02-14,판교점,479,20925,10017289,흐림,없음
2024-02-15,강남점,597,25843,15440412,흐림,없음
2024-02-15,일산점,263,23505,6179980,비,없음
2024-02-15,판교점,453,27926,12645076,맑음,없음
2024-02-16,강남점,710,23232,16505571,맑음,없음
2024-02-16,일산점,434,19076,8280633,흐림,없음
2024-02-16,판교점,649,26932,17486776,맑음,없음
2024-02-17,강남점,722,23217,16753672,맑음,없음
2024-02-17,일산점,499,24058,11994566,흐림,없음
2024-02-17,판교점,727,25938,18858400,맑음,없음
2024-02-18,강남점,619,22314,13814735,맑음,없음
2024-02-18,일산점,399,21338,8505719,흐림,없음
2024-02-18,판교점,418,21910,9149219,맑음,없음
2024-02-19,강남점,591,20907,12353820,흐림,없음
2024-02-19,일산점,374,23637,8834123,흐림,없음
2024-02-19,판교점,494,26280,12983966,맑음,없음
2024-02-20,강남점,714,21664,15460604,맑음,없음
2024-02-20,일산점,375,23397,8783080,흐림,없음
2024-02-20,판교점,562,21118,11866345,흐림,없음
2024-02-21,강남점,574,24348,13970303,흐림,없음
2024-02-21,일산점,359,25256,9070021,흐림,없음
2024-02-21,판교점,565,23964,13528066,흐림,없음
2024-02-22,강남점,625,23426,14642700,맑음,없음
2024-02-22,일산점,371,24370,9045829,맑음,없음
2024-02-22,판교점,444,25885,11505287,흐림,없음
2024-02-23,강남점,778,26389,20518338,맑음,없음
2024-02-23,일산점,371,23399,8669985,비,없음
2024-02-23,판교점,607,25168,15285500,맑음,없음
2024-02-24,강남점,792,20473,16205798,흐림,없음
2024-02-24,일산점,567,22565,12798126,흐림,없음
2024-02-24,판교점,544,23259,12663733,흐림,없음
2024-02-25,강남점,593,19486,11563779,흐림,없음
2024-02-25,일산점,569,18674,10630179,맑음,진행
2024-02-25,판교점,492,24885,12233697,흐림,없음
2024-02-26,강남점,627,25332,15877945,흐림,없음
2024-02-26,일산점,355,18854,6685565,맑음,없음
2024-02-26,판교점,428,23686,10139831,흐림,없음
2024-02-27,강남점,647,21422,13859245,맑음,없음
2024-02-27,일산점,370,24568,9091545,흐림,없음
2024-02-27,판교점,450,24698,11122564,흐림,없음
2024-02-28,강남점,655,23030,15096126,맑음,없음
2024-02-28,일산점,309,20993,6484811,맑음,없음
2024-02-28,판교점,487,22159,10798384,비,없음
2024-02-29,강남점,617,23908,14744302,흐림,없음
2024-02-29,일산점,264,22798,6009576,비,없음
2024-02-29,판교점,448,21177,9481125,맑음,없음
2024-03-01,강남점,771,20573,15862839,맑음,없음
2024-03-01,일산점,532,25673,13646151,맑음,없음
2024-03-01,판교점,655,20883,13678168,비,진행
2024-03-02,강남점,796,19852,15811990,맑음,없음
2024-03-02,일산점,484,26149,12668632,흐림,없음
2024-03-02,판교점,804,19239,15469525,맑음,진행
2024-03-03,강남점,734,24497,17986736,맑음,없음
2024-03-03,일산점,328,26187,8580306,맑음,없음
2024-03-03,판교점,514,26800,13785969,맑음,없음
2024-03-04,강남점,597,16779,10013990,흐림,없음
2024-03-04,일산점,365,24510,8937915,흐림,없음
2024-03-04,판교점,518,30362,15718586,맑음,없음
2024-03-05,강남점,684,25390,17361744,맑음,없음
2024-03-05,일산점,337,25169,8476943,비,없음
2024-03-05,판교점,720,23928,17233312,맑음,진행
2024-03-06,강남점,725,19188,13916674,흐림,없음
2024-03-06,일산점,336,25104,8426869,맑음,없음
2024-03-06,판교점,413,26914,11111303,비,없음
2024-03-07,강남점,594,25851,15363654,맑음,없음
2024-03-07,일산점,494,22945,11341426,비,진행
2024-03-07,판교점,509,21504,10945434,맑음,없음
2024-03-08,강남점,863,24569,21213370,맑음,없음
2024-03-08,일산점,481,21126,10168290,비,없음
2024-03-08,판교점,845,21943,18531446,맑음,진행
2024-03-09,강남점,864,24373,21050977,흐림,없음
2024-03-09,일산점,555,24779,13756709,맑음,없음
2024-03-09,판교점,801,19551,15667178,맑음,진행
2024-03-10,강남점,666,25036,16667656,맑음,없음
2024-03-10,일산점,573,24571,14075603,맑음,진행
2024-03-10,판교점,741,23843,17669518,흐림,진행
2024-03-11,강남점,868,22331,19382006,흐림,진행
2024-03-11,일산점,555,22141,12289060,흐림,진행
2024-03-11,판교점,565,24359,13772196,맑음,없음
2024-03-12,강남점,663,20227,13413232,비,없음
2024-03-12,일산점,541,22563,12213679,흐림,진행
2024-03-12,판교점,527,21640,11405816,흐림,없음
2024-03-13,강남점,662,25906,17156872,맑음,없음
2024-03-13,일산점,438,17968,7874087,맑음,없음
2024-03-13,판교점,680,25706,17480892,맑음,진행
2024-03-14,강남점,681,24110,16425454,맑음,없음
2024-03-14,일산점,357,21539,7694282,맑음,없음
2024-03-14,판교점,691,22192,15345051,흐림,진행
2024-03-15,강남점,765,24979,19114273,맑음,없음
2024-03-15,일산점,593,30004,17803934,맑음,없음
2024-03-15,판교점,686,25974,17808653,맑음,없음
2024-03-16,강남점,784,23445,18384854,맑음,없음
2024-03-16,일산점,415,21561,8949338,비,없음
2024-03-16,판교점,589,26253,15462786,맑음,없음
2024-03-17,강남점,680,23116,15722835,흐림,없음
2024-03-17,일산점,393,25486,10004338,흐림,없음
2024-03-17,판교점,480,27542,13209090,맑음,없음
2024-03-18,강남점,675,26169,17662765,흐림,없음
2024-03-18,일산점,575,25342,14571958,흐림,진행
2024-03-18,판교점,663,25391,16826742,맑음,진행
2024-03-19,강남점,753,26217,19741192,맑음,없음
2024-03-19,일산점,328,26538,8691965,맑음,없음
2024-03-19,판교점,502,24154,12116820,맑음,없음
2024-03-20,강남점,673,24395,16416893,맑음,없음
2024-03-20,일산점,431,24549,10575000,흐림,없음
2024-03-20,판교점,442,23495,10391518,비,없음
2024-03-21,강남점,631,20689,13048135,흐림,없음
2024-03-21,일산점,458,23969,10975911,흐림,없음
2024-03-21,판교점,515,22468,11573054,맑음,없음
2024-03-22,강남점,866,21388,18526806,맑음,없음
2024-03-22,일산점,505,20904,10546790,흐림,없음
2024-03-22,판교점,686,21450,14715035,흐림,없음
2024-03-23,강남점,870,21203,18438348,흐림,없음
2024-03-23,일산점,545,28334,15438617,흐림,없음
2024-03-23,판교점,670,28223,18908552,맑음,없음
2024-03-24,강남점,708,26706,18907416,흐림,없음
2024-03-24,일산점,610,22509,13737687,흐림,진행
2024-03-24,판교점,560,22568,12641971,흐림,없음
2024-03-25,강남점,686,25146,17248595,흐림,없음
2024-03-25,일산점,381,26959,10258954,비,없음
2024-03-25,판교점,491,27321,13407244,비,없음
2024-03-26,강남점,819,22236,18202193,맑음,진행
2024-03-26,일산점,463,20193,9350816,맑음,없음
2024-03-26,판교점,546,21779,11896726,흐림,없음
2024-03-27,강남점,667,23499,15666651,흐림,없음
2024-03-27,일산점,352,19256,6779964,맑음,없음
2024-03-27,판교점,532,22111,11765336,흐림,없음
2024-03-28,강남점,695,21988,15289208,비,없음
2024-03-28,일산점,574,17361,9962027,흐림,진행
2024-03-28,판교점,520,26152,13592541,맑음,없음
2024-03-29,강남점,874,26009,22731011,맑음,없음
2024-03-29,일산점,617,26069,16085885,맑음,없음
2024-03-29,판교점,726,23360,16966728,맑음,없음
2024-03-30,강남점,845,21230,17947376,맑음,없음
2024-03-30,일산점,432,23321,10079608,비,없음
2024-03-30,판교점,675,21788,14700991,맑음,없음
2024-03-31,강남점,881,19935,17566329,맑음,진행
2024-03-31,일산점,373,23372,8720379,맑음,없음
2024-03-31,판교점,565,27605,15599490,맑음,없음
2024-04-01,강남점,689,26118,17988093,흐림,없음
2024-04-01,일산점,424,24708,10478501,맑음,없음
2024-04-01,판교점,591,20591,12178132,흐림,없음
2024-04-02,강남점,824,23779,19604976,흐림,진행
2024-04-02,일산점,356,24257,8646900,비,없음
2024-04-02,판교점,657,19902,13082918,비,진행
2024-04-03,강남점,686,23788,16324831,흐림,없음
2024-04-03,일산점,370,24386,9014558,맑음,없음
2024-04-03,판교점,491,25277,12422410,맑음,없음
2024-04-04,강남점,706,20705,14627049,흐림,없음
2024-04-04,일산점,390,22283,8694366,흐림,없음
2024-04-04,판교점,528,27268,14400505,맑음,없음
2024-04-05,강남점,937,18916,17725163,맑음,진행
2024-04-05,일산점,659,19726,13005186,비,진행
2024-04-05,판교점,787,23583,18550939,맑음,없음
2024-04-06,강남점,717,26178,18777729,비,없음
2024-04-06,일산점,582,24338,14155686,맑음,없음
2024-04-06,판교점,563,21561,12138544,비,없음
2024-04-07,강남점,636,24970,15876521,흐림,없음
2024-04-07,일산점,519,26501,13757487,흐림,없음
2024-04-07,판교점,618,28957,17889137,맑음,없음
2024-04-08,강남점,694,27850,19333136,맑음,없음
2024-04-08,일산점,642,20775,13333621,맑음,진행
2024-04-08,판교점,678,21784,14771050,흐림,진행
2024-04-09,강남점,743,22809,16943333,맑음,없음
2024-04-09,일산점,454,24257,11004563,맑음,없음
2024-04-09,판교점,570,22026,12558266,맑음,없음
2024-04-10,강남점,817,22022,17993917,맑음,진행
2024-04-10,일산점,444,23126,10262460,맑음,없음
2024-04-10,판교점,613,23828,14617466,맑음,없음
2024-04-11,강남점,667,21604,14410282,흐림,없음
2024-04-11,일산점,479,25167,12053917,흐림,없음
2024-04-11,판교점,526,26385,13867173,맑음,없음
2024-04-12,강남점,717,28307,20307610,비,없음
2024-04-12,일산점,634,21060,13346269,비,없음
2024-04-12,판교점,753,16727,12597780,흐림,없음
2024-04-13,강남점,839,19693,16530597,맑음,없음
2024-04-13,일산점,576,28749,16546301,흐림,없음
2024-04-13,판교점,616,20992,12926672,맑음,없음
2024-04-14,강남점,668,25642,17135044,맑음,없음
2024-04-14,일산점,414,28446,11763555,맑음,없음
2024-04-14,판교점,726,23456,17021252,흐림,진행
2024-04-15,강남점,678,28217,19119233,맑음,없음
2024-04-15,일산점,400,24301,9732002,맑음,없음
2024-04-15,판교점,706,23029,16259232,맑음,진행
2024-04-16,강남점,605,21583,13047725,비,없음
2024-04-16,일산점,455,23724,10794682,흐림,없음
2024-04-16,판교점,592,23670,14020092,맑음,없음
2024-04-17,강남점,826,20331,16783102,맑음,없음
2024-04-17,일산점,405,19805,8026998,흐림,없음
2024-04-17,판교점,609,23181,14123561,맑음,없음
2024-04-18,강남점,722,21438,15480937,흐림,없음
2024-04-18,일산점,534,24519,13089751,맑음,진행
2024-04-18,판교점,628,24959,15676373,맑음,없음
2024-04-19,강남점,838,20367,17072145,맑음,없음
2024-04-19,일산점,564,24455,13795871,흐림,없음
2024-04-19,판교점,927,24350,22583375,맑음,진행
2024-04-20,강남점,1009,23144,23342460,흐림,진행
2024-04-20,일산점,565,24567,13880783,흐림,없음
2024-04-20,판교점,702,22194,15577977,맑음,없음
2024-04-21,강남점,699,23803,16634712,비,없음
2024-04-21,일산점,502,20064,10077863,맑음,없음
2024-04-21,판교점,472,22538,10631562,비,없음
2024-04-22,강남점,775,21693,16807044,맑음,없음
2024-04-22,일산점,531,25858,13727538,흐림,없음
2024-04-22,판교점,600,25415,15260642,맑음,없음
2024-04-23,강남점,675,23313,15725333,비,없음
2024-04-23,일산점,374,28673,10719657,비,없음
2024-04-23,판교점,490,22757,11149355,비,없음
2024-04-24,강남점,646,27950,18056525,흐림,없음
2024-04-24,일산점,445,21387,9507114,흐림,없음
2024-04-24,판교점,493,20391,10053621,맑음,없음
2024-04-25,강남점,779,23392,18223048,흐림,없음
2024-04-25,일산점,673,21714,14615098,맑음,진행
2024-04-25,판교점,491,23126,11351961,흐림,없음
2024-04-26,강남점,924,23015,21265751,흐림,없음
2024-04-26,일산점,609,27151,16529938,맑음,없음
2024-04-26,판교점,637,20900,13320622,비,없음
2024-04-27,강남점,912,29069,26515735,맑음,없음
2024-04-27,일산점,593,25834,15325552,흐림,없음
2024-04-27,판교점,639,25059,16002596,비,없음
2024-04-28,강남점,920,19937,18338880,맑음,진행
2024-04-28,일산점,438,25892,11335595,비,없음
2024-04-28,판교점,591,25702,15178526,흐림,없음
2024-04-29,강남점,743,22830,16969204,흐림,없음
2024-04-29,일산점,432,31894,13770739,흐림,없음
2024-04-29,판교점,757,20284,15348569,맑음,진행
2024-04-30,강남점,725,27840,20172361,비,없음
2024-04-30,일산점,433,27702,11984137,비,없음
2024-04-30,판교점,520,23332,12131601,맑음,없음
2024-05-01,강남점,889,22319,19833357,맑음,진행
2024-05-01,일산점,567,24632,13959253,맑음,없음
2024-05-01,판교점,603,24528,14784471,맑음,없음
2024-05-02,강남점,790,19076,15066657,흐림,없음
2024-05-02,일산점,343,17181,5889973,비,없음
2024-05-02,판교점,541,26717,14464642,맑음,없음
2024-05-03,강남점,793,21758,17253235,비,없음
2024-05-03,일산점,567,23708,13446255,비,없음
2024-05-03,판교점,751,26168,19644633,맑음,없음
2024-05-04,강남점,868,18161,15769209,흐림,없음
2024-05-04,일산점,608,20757,12621016,흐림,없음
2024-05-04,판교점,732,24428,17882062,맑음,없음
2024-05-05,강남점,727,22305,16207115,흐림,없음
2024-05-05,일산점,536,20947,11218913,흐림,없음
2024-05-05,판교점,662,24686,16339553,맑음,없음
2024-05-06,강남점,653,24803,16184728,비,없음
2024-05-06,일산점,523,27299,14277742,맑음,없음
2024-05-06,판교점,771,25343,19538973,맑음,진행
2024-05-07,강남점,726,19700,14311417,맑음,없음
2024-05-07,일산점,444,21403,9497118,맑음,없음
2024-05-07,판교점,573,25490,14596724,흐림,없음
2024-05-08,강남점,943,26133,24642957,맑음,진행
2024-05-08,일산점,405,23728,9598192,비,없음
2024-05-08,판교점,586,25210,14776625,흐림,없음
2024-05-09,강남점,910,25427,23131617,비,진행
2024-05-09,일산점,604,25828,15593632,맑음,진행
2024-05-09,판교점,600,21390,12828517,맑음,없음
2024-05-10,강남점,860,26031,22373687,맑음,없음
2024-05-10,일산점,668,22295,14883922,흐림,없음
2024-05-10,판교점,924,22666,20933440,맑음,진행
2024-05-11,강남점,1005,20250,20358387,흐림,진행
2024-05-11,일산점,584,22761,13297009,맑음,없음
2024-05-11,판교점,773,25089,19396797,맑음,없음
2024-05-12,강남점,808,24024,19420884,흐림,없음
2024-05-12,일산점,639,19344,12352657,맑음,진행
2024-05-12,판교점,493,24229,11956002,비,없음
2024-05-13,강남점,668,25386,16969426,비,없음
2024-05-13,일산점,523,22890,11969868,맑음,없음
2024-05-13,판교점,558,21564,12037856,흐림,없음
2024-05-14,강남점,926,24636,22824756,맑음,진행
2024-05-14,일산점,463,20037,9287333,맑음,없음
2024-05-14,판교점,726,17904,12992639,비,진행
2024-05-15,강남점,762,27268,20768676,흐림,없음
2024-05-15,일산점,596,22797,13596292,맑음,진행
2024-05-15,판교점,535,25523,13656466,비,없음
2024-05-16,강남점,726,18335,13313989,비,없음
2024-05-16,일산점,364,22290,8102726,비,없음
2024-05-16,판교점,812,23785,19308786,맑음,진행
2024-05-17,강남점,1017,20298,20639301,맑음,진행
2024-05-17,일산점,579,25157,14577541,맑음,없음
2024-05-17,판교점,928,22594,20964093,맑음,진행
2024-05-18,강남점,948,20931,19842280,맑음,없음
2024-05-18,일산점,617,25571,15768606,흐림,없음
2024-05-18,판교점,821,21932,18007891,흐림,없음
2024-05-19,강남점,953,21262,20265529,맑음,진행
2024-05-19,일산점,472,23829,11236238,흐림,없음
2024-05-19,판교점,637,22969,14623772,흐림,없음
2024-05-20,강남점,660,24486,16159990,흐림,없음
2024-05-20,일산점,665,22536,14987964,맑음,진행
2024-05-20,판교점,557,23907,13313642,흐림,없음
2024-05-21,강남점,751,29909,22476178,맑음,없음
2024-05-21,일산점,643,21232,13662663,흐림,진행
2024-05-21,판교점,592,25879,15321930,흐림,없음
2024-05-22,강남점,742,23693,17584571,맑음,없음
2024-05-22,일산점,700,23515,16452842,맑음,진행
2024-05-22,판교점,635,24334,15454236,흐림,없음
2024-05-23,강남점,777,26298,20424733,흐림,없음
2024-05-23,일산점,522,26305,13729782,맑음,없음
2024-05-23,판교점,726,20353,14781645,맑음,진행
2024-05-24,강남점,897,24230,21742913,맑음,없음
2024-05-24,일산점,692,25151,17397436,맑음,없음
2024-05-24,판교점,683,22889,15631513,비,없음
2024-05-25,강남점,867,23849,20678425,맑음,없음
2024-05-25,일산점,605,27520,16643794,맑음,없음
2024-05-25,판교점,942,19488,18360863,맑음,진행
2024-05-26,강남점,746,28483,21236057,흐림,없음
2024-05-26,일산점,439,24627,10817104,흐림,없음
2024-05-26,판교점,662,28482,18851654,흐림,없음
2024-05-27,강남점,777,21048,16354386,맑음,없음
2024-05-27,일산점,479,24036,11521011,비,없음
2024-05-27,판교점,652,22414,14614147,맑음,없음
2024-05-28,강남점,924,23899,22073769,흐림,진행
2024-05-28,일산점,510,25380,12952688,맑음,없음
2024-05-28,판교점,550,27624,15193128,맑음,없음
2024-05-29,강남점,755,29338,22157464,맑음,없음
2024-05-29,일산점,562,18381,10338826,맑음,진행
2024-05-29,판교점,666,24840,16550465,맑음,없음
2024-05-30,강남점,861,32860,28308415,흐림,없음
2024-05-30,일산점,628,21100,13257703,맑음,진행
2024-05-30,판교점,578,28582,16514366,흐림,없음
2024-05-31,강남점,926,22608,20945549,흐림,없음
2024-05-31,일산점,813,17220,13999205,흐림,진행
2024-05-31,판교점,760,21621,16437670,맑음,없음
2024-06-01,강남점,853,21524,18366327,맑음,없음
2024-06-01,일산점,687,24756,17012055,맑음,없음
2024-06-01,판교점,722,26001,18768294,흐림,없음
2024-06-02,강남점,769,20669,15888080,흐림,없음
2024-06-02,일산점,597,26469,15814848,흐림,없음
2024-06-02,판교점,658,22050,14515334,맑음,없음
2024-06-03,강남점,778,22876,17801289,맑음,없음
2024-06-03,일산점,545,20911,11393194,흐림,없음
2024-06-03,판교점,546,22103,12061808,비,없음
2024-06-04,강남점,720,23941,17228875,맑음,없음
2024-06-04,일산점,508,22335,11341179,맑음,없음
2024-06-04,판교점,559,22458,12562314,비,없음
2024-06-05,강남점,929,22178,20606903,맑음,진행
2024-06-05,일산점,476,22665,10790474,맑음,없음
2024-06-05,판교점,638,21039,13427241,흐림,없음
2024-06-06,강남점,657,26878,17649947,비,없음
2024-06-06,일산점,459,27084,12434540,흐림,없음
2024-06-06,판교점,617,22033,13587681,맑음,없음
2024-06-07,강남점,965,21317,20574834,흐림,진행
2024-06-07,일산점,696,23319,16240518,비,진행
2024-06-07,판교점,893,21745,19413201,맑음,진행
2024-06-08,강남점,920,24765,22778099,맑음,없음
2024-06-08,일산점,518,27450,14210335,비,없음
2024-06-08,판교점,822,28131,23118545,맑음,없음
2024-06-09,강남점,723,19617,14174998,비,없음
2024-06-09,일산점,494,25837,12773711,맑음,없음
2024-06-09,판교점,646,23111,14931440,흐림,없음
2024-06-10,강남점,952,20398,19422442,맑음,진행
2024-06-10,일산점,541,25922,14034909,흐림,없음
2024-06-10,판교점,654,20482,13401771,맑음,없음
2024-06-11,강남점,758,23520,17830941,맑음,없음
2024-06-11,일산점,518,19444,10067735,흐림,없음
2024-06-11,판교점,546,25641,13991391,맑음,없음
2024-06-12,강남점,738,17748,13103273,흐림,없음
2024-06-12,일산점,383,19019,7286197,비,없음
2024-06-12,판교점,465,27466,12782059,비,없음
2024-06-13,강남점,935,22428,20974584,흐림,진행
2024-06-13,일산점,456,27502,12537226,비,없음
2024-06-13,판교점,853,16185,13799563,맑음,진행
2024-06-14,강남점,924,26216,24215846,맑음,없음
2024-06-14,일산점,845,28319,23926363,맑음,진행
2024-06-14,판교점,792,25252,19988194,맑음,없음
2024-06-15,강남점,946,24118,22803624,흐림,없음
2024-06-15,일산점,790,19396,15331803,맑음,진행
2024-06-15,판교점,685,20737,14201185,흐림,없음
2024-06-16,강남점,984,22681,22323298,맑음,진행
2024-06-16,일산점,485,21507,10439593,흐림,없음
2024-06-16,판교점,798,17835,14237295,흐림,진행
2024-06-17,강남점,961,22104,21230700,흐림,진행
2024-06-17,일산점,497,27258,13536090,맑음,없음
2024-06-17,판교점,784,23859,18698857,맑음,진행
2024-06-18,강남점,739,20801,15363867,맑음,없음
2024-06-18,일산점,516,29550,15257106,맑음,없음
2024-06-18,판교점,578,27628,15956297,맑음,없음
2024-06-19,강남점,922,22235,20496332,맑음,진행
2024-06-19,일산점,340,21485,7306427,비,없음
2024-06-19,판교점,601,28563,17171799,맑음,없음
2024-06-20,강남점,702,22450,15749236,흐림,없음
2024-06-20,일산점,547,20851,11404067,비,진행
2024-06-20,판교점,858,22403,19210910,흐림,진행
2024-06-21,강남점,1096,22358,24501908,맑음,진행
2024-06-21,일산점,577,26760,15440572,흐림,없음
2024-06-21,판교점,728,23251,16931524,흐림,없음
2024-06-22,강남점,930,24101,22403844,흐림,없음
2024-06-22,일산점,795,23391,18602856,맑음,진행
