날짜,생산라인,생산량,설비온도,습도,진동값,압력,라인속도,수율,불량여부
2024-02-19,B라인,1065.0,57.58,56.03,3.065,101.86,117.3,96.22,정상
2024-02-20,A라인,1093.2,62.38,61.45,2.332,101.58,129.0,98.86,정상
2024-02-21,B라인,1208.5,61.27,57.85,1.928,100.86,119.9,98.59,정상
2024-02-22,A라인,1063.0,60.97,58.15,2.379,99.5,123.4,99.15,정상
2024-02-23,B라인,984.3,60.61,64.46,1.951,101.66,116.9,97.99,정상
2024-02-24,B라인,1004.3,61.96,67.25,2.119,102.53,130.7,98.18,정상
2024-02-25,B라인,1018.2,57.06,60.89,2.845,103.16,120.8,95.57,정상
2024-02-26,A라인,1090.5,61.47,58.88,2.148,100.95,112.4,99.24,정상
2024-02-27,A라인,1143.8,61.58,62.35,2.704,100.95,124.5,98.52,정상
2024-02-28,C라인,1186.2,56.5,51.33,2.534,102.58,117.6,94.53,정상
2024-02-29,A라인,1114.8,61.29,59.77,2.484,102.57,123.5,99.06,정상
2024-03-01,A라인,992.4,60.11,55.11,2.622,101.36,120.7,97.2,정상
2024-03-02,B라인,1055.6,62.52,70.66,2.816,101.77,121.4,97.25,정상
2024-03-03,C라인,998.8,59.97,63.18,2.735,100.15,120.7,96.96,정상
2024-03-04,A라인,1109.0,61.03,60.59,2.484,101.63,114.4,98.76,정상
2024-03-05,A라인,1227.0,61.96,59.1,2.425,100.08,110.9,99.02,정상
2024-03-06,B라인,1217.1,59.42,48.67,2.506,100.83,125.7,97.45,정상
2024-03-07,B라인,1295.2,62.8,63.2,2.733,100.85,119.1,98.34,정상
2024-03-08,A라인,1035.1,61.39,67.33,2.225,100.47,121.6,98.65,정상
2024-03-09,A라인,1020.1,62.84,56.72,2.561,98.66,117.1,97.31,정상
2024-03-10,B라인,1079.6,60.75,63.07,2.405,100.08,107.8,98.01,정상
2024-03-11,A라인,1211.4,64.42,63.24,2.576,101.35,112.2,96.29,정상
2024-03-12,A라인,1213.8,63.5,53.02,2.37,100.92,128.3,97.2,정상
2024-03-13,A라인,1182.3,61.92,64.18,3.001,100.55,115.2,98.64,정상
2024-03-14,B라인,1253.8,63.84,66.05,2.28,101.46,117.6,98.35,정상
2024-03-15,A라인,1087.0,65.35,60.97,2.676,101.74,111.1,97.13,정상
2024-03-16,A라인,1075.1,66.66,59.63,2.871,101.92,116.7,96.21,정상
2024-03-17,B라인,1145.2,59.4,63.43,2.695,100.1,117.7,97.08,정상
2024-03-18,B라인,1150.0,64.94,52.92,2.685,101.01,118.6,97.58,정상
2024-03-19,A라인,1234.3,64.15,60.24,2.606,100.62,119.5,97.6,정상
2024-03-20,B라인,1298.0,63.06,64.53,2.698,100.02,116.1,97.17,정상
2024-03-21,B라인,1222.3,61.19,54.16,1.994,99.34,116.5,97.63,정상
2024-03-22,A라인,1170.3,66.3,64.17,2.739,100.87,119.8,96.84,정상
2024-03-23,B라인,1070.1,60.9,57.77,2.08,100.02,121.9,98.08,정상
2024-03-24,B라인,1128.6,65.05,50.24,2.636,103.35,119.1,96.74,정상
2024-03-25,B라인,1159.2,66.8,59.08,2.488,100.87,130.4,96.89,정상
2024-03-26,C라인,1212.4,60.55,55.12,2.172,100.73,121.2,96.38,정상
2024-03-27,A라인,1382.7,63.54,60.87,2.429,100.54,120.9,98.25,정상
2024-03-28,A라인,1279.3,61.46,54.09,2.8,103.04,116.0,97.69,정상
2024-03-29,A라인,1225.7,65.01,64.03,2.728,99.95,126.1,96.68,정상
2024-03-30,B라인,1096.0,67.93,55.91,3.12,100.8,113.8,95.16,정상
2024-03-31,A라인,1159.3,69.18,60.76,3.725,100.14,110.2,92.44,불량
2024-04-01,A라인,901.0,69.41,56.4,5.153,100.84,114.1,92.27,불량
2024-04-02,A라인,1244.6,63.72,57.54,1.871,100.94,123.7,98.28,정상
2024-04-03,C라인,1354.1,66.66,64.28,2.676,102.19,113.1,94.83,정상
2024-04-04,B라인,1251.8,68.71,59.79,3.137,99.42,127.7,94.29,정상
2024-04-05,A라인,926.0,80.0,56.96,5.209,100.96,119.8,83.46,불량
2024-04-06,A라인,1096.1,63.85,53.01,3.064,102.76,110.9,97.37,정상
2024-04-07,A라인,1229.8,66.27,63.76,2.359,100.42,118.6,96.54,정상
2024-04-08,A라인,1292.9,65.7,61.74,3.344,100.79,130.7,95.18,정상
2024-04-09,C라인,1350.1,65.41,56.87,3.051,100.01,114.8,95.79,정상
2024-04-10,A라인,1312.1,64.36,59.33,2.739,98.1,112.1,97.18,정상
2024-04-11,B라인,1283.2,66.95,53.49,2.948,100.87,123.1,96.1,정상
2024-04-12,A라인,1287.5,66.89,53.45,3.514,102.27,127.8,95.12,정상
2024-04-13,A라인,1174.4,66.12,54.18,2.733,100.47,126.1,96.04,정상
2024-04-14,A라인,1219.2,65.96,59.37,2.553,98.95,118.0,97.81,정상
2024-04-15,B라인,1286.9,63.73,58.99,2.497,101.27,121.1,98.21,정상
2024-04-16,B라인,1303.5,65.6,54.18,2.254,101.07,121.9,97.48,정상
2024-04-17,B라인,1257.4,78.15,60.73,7.916,102.08,127.0,84.27,불량
2024-04-18,A라인,981.2,72.89,60.81,6.905,101.98,132.9,90.94,불량
2024-04-19,A라인,1262.8,63.83,57.92,2.557,100.68,119.4,98.23,정상
2024-04-20,B라인,1202.8,70.04,61.68,3.669,101.42,127.8,92.4,불량
2024-04-21,A라인,1153.9,68.38,55.58,2.84,99.0,118.0,95.22,정상
2024-04-22,B라인,1314.6,71.95,56.22,4.556,102.21,123.6,88.9,불량
2024-04-23,C라인,1395.9,67.55,58.72,2.675,101.19,114.4,93.93,정상
2024-04-24,A라인,1394.6,66.5,56.29,3.018,102.18,115.4,96.84,정상
2024-04-25,C라인,1308.8,64.43,59.87,2.064,102.15,122.5,96.26,정상
2024-04-26,B라인,1290.5,70.63,50.51,3.847,100.67,114.7,91.52,불량
2024-04-27,C라인,1273.9,73.46,62.41,4.539,100.82,125.4,87.31,불량
2024-04-28,C라인,1253.3,66.1,52.32,2.718,100.02,116.7,95.49,정상
2024-04-29,A라인,1393.4,66.57,54.94,2.598,98.71,120.5,96.9,정상
2024-04-30,B라인,1427.0,69.4,49.32,2.778,100.84,119.5,94.89,정상
2024-05-01,A라인,1442.3,66.35,58.06,2.432,101.15,118.1,96.26,정상
2024-05-02,B라인,1423.5,67.66,,3.001,99.79,120.8,94.52,정상
2024-05-03,C라인,1255.0,67.58,59.85,3.138,101.76,126.5,94.38,정상
2024-05-04,B라인,1214.4,68.85,58.61,2.838,101.09,138.7,94.36,정상
2024-05-05,B라인,1280.2,70.92,47.68,3.241,101.48,112.9,92.34,불량
2024-05-06,B라인,1352.5,68.64,51.0,2.953,100.13,121.9,95.78,정상
2024-05-07,A라인,1469.0,70.69,52.26,3.703,99.04,119.0,92.63,불량
2024-05-08,A라인,1471.6,67.82,49.96,2.836,101.84,114.6,96.76,정상
2024-05-09,A라인,1380.8,69.53,59.04,3.199,101.65,121.8,94.12,정상
2024-05-10,B라인,1306.1,64.18,54.64,2.728,100.86,114.8,97.34,정상
2024-05-11,B라인,1236.6,65.76,53.52,2.93,100.52,119.6,96.33,정상
2024-05-12,A라인,1251.3,70.77,55.64,3.997,100.68,127.5,91.54,불량
2024-05-13,B라인,1319.1,67.79,48.98,2.744,100.83,108.0,95.57,정상
2024-05-14,B라인,1451.7,70.42,48.99,3.703,100.42,121.6,90.87,불량
2024-05-15,A라인,1408.3,70.4,48.92,3.621,98.77,122.8,91.86,불량
2024-05-16,C라인,1366.0,72.18,54.94,3.869,101.84,114.4,88.8,불량
2024-05-17,A라인,1312.0,71.11,54.04,4.145,99.34,123.3,91.4,불량
2024-05-18,B라인,1234.1,71.62,54.91,4.093,100.62,122.2,89.85,불량
2024-05-19,A라인,1265.2,69.18,56.97,3.198,100.64,118.0,94.1,정상
2024-05-20,A라인,1248.5,67.94,45.82,3.437,101.27,127.4,94.25,정상
2024-05-21,A라인,1434.7,67.92,49.21,3.249,99.21,112.3,94.45,정상
2024-05-22,C라인,1422.2,68.5,52.2,3.404,102.31,124.0,92.78,불량
2024-05-23,B라인,1396.6,67.13,45.27,3.214,101.7,118.7,94.22,정상
2024-05-24,A라인,1327.1,68.45,48.74,3.355,101.83,113.8,93.24,정상
2024-05-25,A라인,1179.0,69.49,55.5,3.06,102.38,119.1,95.44,정상
2024-05-26,A라인,1229.8,82.77,55.7,5.856,100.11,118.1,81.26,불량
2024-05-27,C라인,1358.6,69.02,55.38,3.572,97.54,125.1,91.2,불량
2024-05-28,C라인,1430.5,65.57,50.53,2.418,101.35,111.2,95.67,정상
2024-05-29,C라인,1360.2,69.67,49.18,3.473,102.43,119.0,91.47,불량
2024-05-30,B라인,1055.9,82.32,54.78,7.75,102.27,117.4,82.87,불량
2024-05-31,A라인,1333.3,72.27,48.05,4.705,100.4,129.6,88.92,불량
2024-06-01,B라인,1250.3,71.17,51.04,4.283,100.89,113.5,89.14,불량
2024-06-02,B라인,1295.4,68.51,55.28,3.418,101.31,126.5,93.56,정상
2024-06-03,A라인,1412.6,68.35,47.45,3.077,99.0,109.6,94.35,정상
2024-06-04,A라인,1410.4,74.38,46.15,5.419,100.26,122.2,86.2,불량
2024-06-05,B라인,1402.3,71.63,48.65,4.222,100.29,119.4,88.96,불량
2024-06-06,A라인,1454.2,74.01,51.18,4.955,102.73,122.4,87.08,불량
2024-06-07,A라인,1328.0,74.67,50.45,5.675,100.28,116.0,85.06,불량
2024-06-08,C라인,1259.2,68.2,48.78,3.233,102.72,108.5,92.3,불량
2024-06-09,B라인,1387.8,70.85,50.37,3.601,101.01,110.9,91.91,불량
2024-06-10,B라인,1361.3,71.01,40.47,4.219,99.15,128.1,89.89,불량
2024-06-11,B라인,1416.2,71.23,43.59,3.866,103.44,121.5,90.33,불량
2024-06-12,B라인,1452.7,71.19,47.99,4.089,99.93,115.0,90.06,불량
2024-06-13,A라인,1373.3,70.43,42.87,3.257,101.68,125.6,94.1,정상
2024-06-14,B라인,1322.1,70.36,40.8,3.657,102.88,115.7,91.94,불량
2024-06-15,A라인,1269.6,66.67,41.2,2.53,100.41,115.7,96.72,정상
2024-06-16,A라인,1249.8,69.59,42.3,3.169,99.65,112.9,93.87,정상
2024-06-17,A라인,1337.0,68.3,45.42,2.582,102.15,127.2,96.55,정상
2024-06-18,A라인,1431.9,70.2,41.42,4.214,101.07,131.9,91.55,불량
2024-06-19,B라인,1451.4,68.88,46.88,3.212,99.65,114.4,94.11,정상
2024-06-20,A라인,1410.5,71.24,53.25,4.008,99.81,121.9,91.29,불량
2024-06-21,A라인,1340.3,71.66,44.75,4.393,100.57,126.0,90.53,불량
2024-06-22,B라인,1266.2,70.51,50.95,3.673,102.06,132.9,90.91,불량
2024-06-23,C라인,1294.3,70.5,46.31,3.847,100.68,105.8,89.55,불량
2024-06-24,B라인,1322.8,69.98,39.77,3.167,101.72,121.0,92.23,불량
2024-06-25,C라인,1397.3,68.75,,3.278,102.82,124.0,93.14,정상
2024-06-26,B라인,1471.4,69.34,40.0,3.256,102.4,111.3,92.16,불량
2024-06-27,C라인,1285.5,68.57,47.68,3.32,102.58,122.6,92.63,불량
2024-06-28,B라인,1311.3,70.48,38.84,3.746,102.36,121.3,91.96,불량
2024-06-29,B라인,1386.5,69.61,49.78,3.057,99.23,124.5,92.98,불량
2024-06-30,B라인,1176.5,70.81,,3.282,102.35,116.7,92.38,불량
2024-07-01,A라인,1395.9,66.56,34.35,2.493,101.36,122.7,96.93,정상
2024-07-02,A라인,1317.7,71.39,46.79,4.196,100.86,116.5,90.78,불량
2024-07-03,B라인,1428.4,67.71,50.06,3.108,99.81,123.8,93.63,정상
2024-07-04,A라인,1434.4,67.72,39.32,3.103,99.25,121.1,95.1,정상
2024-07-05,C라인,1348.0,68.84,47.13,2.679,99.78,117.9,94.72,정상
2024-07-06,A라인,1189.5,67.98,34.42,2.292,100.98,111.7,96.52,정상
2024-07-07,A라인,1187.0,69.8,43.46,3.322,99.71,130.1,93.55,정상
2024-07-08,A라인,1248.9,67.83,34.67,2.921,100.1,126.8,96.18,정상
2024-07-09,A라인,1414.0,66.68,44.14,2.627,100.32,125.5,96.97,정상
2024-07-10,C라인,1379.3,67.1,33.74,2.97,101.73,116.2,94.35,정상
2024-07-11,A라인,1346.2,71.78,29.76,4.076,100.68,118.1,90.35,불량
2024-07-12,C라인,1277.1,68.92,43.22,2.932,100.84,130.2,94.03,정상
2024-07-13,C라인,1233.0,66.18,51.56,2.47,102.46,124.7,95.59,정상
2024-07-14,A라인,1253.6,68.69,38.42,3.248,100.65,115.1,94.59,정상
2024-07-15,C라인,1303.1,65.18,44.67,2.603,101.66,120.5,96.3,정상
2024-07-16,B라인,1293.2,72.46,41.26,4.349,99.84,121.1,89.5,불량
2024-07-17,A라인,1446.0,65.09,39.14,3.207,101.36,119.0,95.49,정상
2024-07-18,C라인,1205.8,69.41,43.21,3.316,101.13,114.6,92.42,불량
2024-07-19,A라인,1304.4,69.47,47.67,3.439,101.19,127.8,93.6,정상
2024-07-20,A라인,1170.5,65.0,34.56,2.284,100.49,123.8,97.87,정상
2024-07-21,A라인,1203.6,68.76,42.51,3.122,99.87,119.1,95.11,정상
2024-07-22,A라인,1256.8,70.2,41.37,3.758,100.67,110.8,92.33,불량
2024-07-23,A라인,1331.4,68.94,33.26,3.428,100.49,116.8,94.08,정상
2024-07-24,A라인,1361.9,68.4,46.79,3.093,102.14,120.3,95.91,정상
2024-07-25,B라인,1299.0,69.82,48.15,3.61,102.0,125.5,92.71,불량
2024-07-26,B라인,1181.4,67.98,34.94,3.06,99.68,118.1,93.89,정상
2024-07-27,B라인,1217.7,68.27,46.91,2.582,101.69,127.0,95.06,정상
2024-07-28,C라인,1168.1,67.15,39.21,1.961,100.47,121.2,95.71,정상
2024-07-29,C라인,1322.3,68.72,38.09,3.86,101.5,115.9,90.92,불량
2024-07-30,A라인,1322.6,65.16,45.45,2.812,100.47,103.6,97.12,정상
2024-07-31,B라인,1312.4,68.86,39.58,3.232,99.38,113.3,93.48,정상
2024-08-01,B라인,1312.4,65.9,39.89,2.188,102.12,111.4,97.52,정상
2024-08-02,C라인,1251.8,64.51,45.14,2.156,101.5,119.5,97.21,정상
2024-08-03,A라인,1118.8,67.6,43.99,3.344,99.65,122.4,93.68,정상
2024-08-04,C라인,1162.2,70.41,42.09,2.893,98.92,128.7,93.11,정상
2024-08-05,B라인,1306.8,68.69,31.66,3.115,100.41,120.3,93.92,정상
2024-08-06,B라인,1265.2,65.33,30.77,2.842,99.7,113.5,95.5,정상
2024-08-07,B라인,1286.4,67.88,,3.063,100.6,134.5,94.96,정상
2024-08-08,A라인,1280.6,65.23,33.46,2.799,101.68,122.3,96.97,정상
2024-08-09,B라인,1137.5,65.84,38.2,2.629,102.62,118.8,96.94,정상
2024-08-10,B라인,1029.7,66.19,32.6,3.386,100.61,118.9,95.74,정상
2024-08-11,C라인,1080.1,60.78,36.51,2.139,102.52,112.3,97.72,정상
2024-08-12,B라인,1239.5,66.17,31.49,2.332,102.28,124.3,97.28,정상
2024-08-13,A라인,1319.6,63.37,44.49,2.51,100.52,122.7,98.11,정상
2024-08-14,A라인,1331.3,63.97,32.48,2.87,99.17,130.0,96.5,정상
2024-08-15,A라인,1270.7,62.14,36.43,2.385,101.94,127.1,99.59,정상
2024-08-16,B라인,1116.6,61.92,36.06,2.694,101.67,125.7,98.01,정상
2024-08-17,C라인,1151.0,63.06,42.25,2.271,103.59,128.0,96.97,정상
2024-08-18,B라인,1186.9,66.82,30.36,2.486,102.57,118.8,96.16,정상
2024-08-19,A라인,1171.1,68.54,36.53,3.562,101.86,117.8,93.48,정상
2024-08-20,A라인,1312.4,64.69,35.67,2.97,102.86,120.2,97.99,정상
2024-08-21,B라인,1268.0,67.02,38.94,3.283,99.85,113.1,94.07,정상
2024-08-22,B라인,1241.5,63.91,38.61,2.343,101.22,119.7,97.52,정상
2024-08-23,B라인,1168.5,60.15,34.35,2.138,100.7,118.6,97.76,정상
2024-08-24,B라인,1033.6,64.55,37.46,2.19,102.92,124.6,97.44,정상
2024-08-25,A라인,1180.9,65.07,34.65,2.507,101.63,120.5,97.04,정상
2024-08-26,B라인,1144.0,63.02,38.39,2.582,97.64,109.1,96.71,정상
2024-08-27,A라인,1245.5,64.49,35.78,2.654,102.51,120.8,97.37,정상
2024-08-28,A라인,1242.4,64.95,33.25,2.155,100.01,129.1,97.49,정상
2024-08-29,B라인,1233.7,61.66,36.04,2.457,101.86,109.6,97.88,정상
2024-08-30,B라인,1151.7,60.17,37.77,2.465,100.48,116.1,97.08,정상
2024-08-31,C라인,1081.7,62.8,46.3,2.437,101.28,120.7,96.72,정상
2024-09-01,B라인,1159.0,62.69,33.87,2.402,101.71,112.7,97.97,정상
2024-09-02,A라인,1175.7,62.24,37.44,2.344,101.23,117.3,98.8,정상
2024-09-03,A라인,1212.7,65.05,42.62,2.733,99.96,121.0,96.27,정상
2024-09-04,A라인,1115.7,66.54,26.67,2.806,102.55,112.7,96.08,정상
2024-09-05,A라인,1181.2,61.69,28.17,2.465,101.45,122.4,99.05,정상
2024-09-06,B라인,1100.1,64.0,30.66,2.279,101.0,123.1,97.53,정상
2024-09-07,A라인,1022.6,64.4,35.49,2.614,101.79,113.1,97.16,정상
2024-09-08,A라인,1037.8,63.76,46.98,2.422,100.43,120.9,97.95,정상
2024-09-09,A라인,1171.0,64.36,37.76,1.908,103.09,127.2,97.83,정상
2024-09-10,A라인,1259.1,61.06,41.45,2.551,101.27,119.7,98.99,정상
2024-09-11,B라인,1312.2,63.41,35.02,2.362,101.42,123.3,96.99,정상
2024-09-12,A라인,1227.1,66.09,24.95,2.961,101.4,124.6,96.59,정상
2024-09-13,A라인,1063.2,63.27,25.64,2.384,100.02,119.3,98.05,정상
2024-09-14,A라인,1055.5,60.0,40.65,2.445,99.73,126.7,98.08,정상
2024-09-15,B라인,997.5,62.57,36.93,2.465,101.26,123.1,98.6,정상
2024-09-16,B라인,1159.7,63.87,30.28,2.46,101.41,114.8,97.21,정상
2024-09-17,B라인,1210.9,61.77,41.18,2.276,102.5,123.9,97.84,정상
2024-09-18,A라인,1182.4,59.58,29.26,2.003,101.52,126.0,97.9,정상
2024-09-19,C라인,1154.1,64.08,41.33,2.994,99.82,125.6,95.8,정상
2024-09-20,C라인,1067.2,57.8,42.8,2.276,101.6,117.0,95.51,정상
2024-09-21,A라인,998.9,61.52,32.87,2.309,101.93,123.6,97.96,정상
2024-09-22,A라인,1102.1,60.24,31.38,2.639,102.12,129.1,97.69,정상
2024-09-23,B라인,1250.6,57.52,40.21,2.868,101.39,122.2,96.02,정상
2024-09-24,A라인,1216.2,62.69,31.54,2.567,99.68,128.0,99.14,정상
2024-09-25,A라인,1242.1,60.64,40.41,2.649,102.3,128.7,97.91,정상
2024-09-26,A라인,1150.9,57.18,31.21,3.172,100.22,120.7,94.99,정상
2024-09-27,A라인,1047.9,60.94,40.29,2.504,101.65,124.9,98.42,정상
2024-09-28,C라인,1111.7,58.53,37.15,3.43,99.29,119.2,93.42,정상
2024-09-29,A라인,1012.0,55.17,34.85,2.957,101.86,127.3,94.52,정상
2024-09-30,A라인,1114.7,57.71,32.84,2.796,100.16,120.4,96.23,정상
2024-10-01,B라인,1160.1,59.67,38.02,2.396,102.21,117.6,97.55,정상
2024-10-02,C라인,1207.6,60.36,28.52,2.296,102.96,120.8,96.8,정상
2024-10-03,A라인,1128.4,59.2,35.88,2.621,102.31,120.5,97.67,정상
2024-10-04,B라인,1077.5,58.81,35.43,2.991,99.74,123.2,95.27,정상
2024-10-05,A라인,943.5,59.62,40.35,2.303,99.98,123.7,97.52,정상
2024-10-06,B라인,1011.7,58.0,31.75,2.489,100.06,114.0,96.26,정상
2024-10-07,A라인,1146.7,60.93,45.2,2.623,101.75,117.1,99.01,정상
2024-10-08,A라인,1107.4,58.55,36.19,2.767,101.4,123.1,97.83,정상
2024-10-09,C라인,1139.8,58.74,32.58,3.139,101.19,123.9,94.8,정상
2024-10-10,C라인,1181.4,59.17,44.04,2.832,101.36,121.5,96.57,정상
2024-10-11,B라인,1058.5,55.53,45.4,3.217,101.66,136.8,93.8,정상
2024-10-12,B라인,1038.4,56.18,37.19,2.917,101.74,127.7,94.93,정상
2024-10-13,C라인,905.7,60.99,34.14,2.479,102.88,120.6,96.3,정상
2024-10-14,A라인,1082.2,58.25,38.34,2.604,100.96,125.4,97.46,정상
2024-10-15,A라인,1087.4,56.78,35.28,2.509,101.24,129.1,96.51,정상
2024-10-16,B라인,1098.5,58.04,37.11,2.685,98.98,123.3,96.37,정상
2024-10-17,A라인,1129.9,56.12,45.65,2.974,99.56,110.6,95.5,정상
2024-10-18,C라인,1085.6,57.68,40.54,2.671,100.25,121.7,95.3,정상
2024-10-19,B라인,915.3,55.5,39.56,3.041,99.71,121.4,93.67,정상
2024-10-20,B라인,949.4,57.46,40.6,3.244,101.26,133.9,94.66,정상
2024-10-21,C라인,1042.5,53.28,38.92,3.964,102.16,110.1,89.85,불량
2024-10-22,B라인,1132.7,59.57,43.11,2.768,100.53,130.4,96.89,정상
2024-10-23,C라인,1095.1,55.42,43.42,3.01,100.48,120.2,93.89,정상
2024-10-24,A라인,1207.6,52.97,37.95,3.583,100.45,126.8,92.11,불량
2024-10-25,C라인,1053.6,55.85,40.23,3.001,101.15,119.4,93.66,정상
2024-10-26,B라인,961.6,55.43,50.77,3.244,100.41,122.2,94.69,정상
2024-10-27,B라인,971.4,56.49,41.96,2.85,101.48,128.0,96.03,정상
2024-10-28,A라인,1169.5,53.54,39.38,3.635,101.34,121.7,92.36,불량
2024-10-29,B라인,1235.8,56.85,,3.147,101.39,127.6,94.21,정상
2024-10-30,B라인,1129.8,63.85,40.58,2.546,101.85,120.8,97.43,정상
2024-10-31,B라인,1118.6,52.98,35.77,3.589,101.04,118.8,91.99,불량
2024-11-01,C라인,1081.5,56.45,43.9,2.834,101.16,119.9,95.0,정상
2024-11-02,B라인,922.5,54.94,36.99,3.113,102.94,118.2,95.2,정상
2024-11-03,C라인,966.8,55.97,38.97,3.106,100.95,120.6,93.4,정상
2024-11-04,A라인,1124.6,51.48,42.84,4.067,101.88,129.5,90.36,불량
2024-11-05,A라인,1102.8,52.85,40.98,3.857,101.06,114.3,91.26,불량
2024-11-06,A라인,1132.2,56.32,38.29,3.175,100.5,111.3,94.88,정상
2024-11-07,A라인,1042.3,55.15,39.42,3.253,100.5,121.2,93.91,정상
2024-11-08,B라인,991.0,58.76,39.41,2.333,100.1,131.4,96.41,정상
2024-11-09,A라인,1008.0,53.54,47.51,3.516,101.01,127.6,93.29,정상
2024-11-10,B라인,957.6,55.41,39.2,3.218,100.33,129.3,93.89,정상
2024-11-11,C라인,1006.6,61.36,40.05,2.543,100.53,128.9,97.93,정상
2024-11-12,C라인,1108.1,53.21,51.98,4.026,102.34,117.0,89.41,불량
2024-11-13,A라인,1234.5,52.84,40.51,3.87,100.85,122.1,91.55,불량
2024-11-14,A라인,1114.4,54.69,49.89,2.993,102.25,105.4,95.07,정상
2024-11-15,A라인,1003.7,54.61,49.3,3.781,101.29,117.7,91.43,불량
2024-11-16,A라인,988.1,56.51,42.88,3.025,101.95,125.0,94.7,정상
2024-11-17,B라인,1019.4,54.89,37.37,3.424,100.33,112.1,93.41,정상
2024-11-18,B라인,1076.2,52.89,45.99,3.981,101.16,109.0,90.69,불량
2024-11-19,A라인,1060.3,54.97,47.17,3.0,103.9,113.6,93.65,정상
2024-11-20,A라인,1174.0,60.26,48.7,2.365,101.91,122.7,97.83,정상
